direction_id,layer,edited_property,on_target_metric,metric,spearman_rho,p_value,is_on_target
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,boundary_complexity,-0.14285714285714288,0.7871720116618076,True
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,boundary_error_fraction,-0.942857142857143,0.004804664723032055,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,centroid_z,0.8285714285714287,0.04156268221574335,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,dice,-1.0,0.0,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,edema_fraction,-0.942857142857143,0.004804664723032055,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,enhancing_fraction,1.0,0.0,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,false_negative_voxels,-1.0,0.0,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,false_positive_voxels,1.0,0.0,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,necrosis_fraction,-0.08571428571428573,0.8717434402332361,False
decoder2::gt_compactness,decoder2,gt_compactness,boundary_complexity,tumor_volume,1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,boundary_complexity,-1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,boundary_error_fraction,1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,centroid_z,-1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,dice,1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,edema_fraction,0.6,0.208,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,enhancing_fraction,0.8285714285714287,0.04156268221574335,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,false_negative_voxels,1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,false_positive_voxels,-1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,necrosis_fraction,-1.0,0.0,False
decoder2::gt_wt_voxels,decoder2,gt_wt_voxels,tumor_volume,tumor_volume,-1.0,0.0,True
