direction_id,layer,edited_property,on_target_metric,alpha,metric,mean_delta,std_delta,mean_baseline,mean_edited,n_cases
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,boundary_complexity,-0.0020052685227819824,0.047014364491917926,6.174654469857373,6.1726492013345915,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,boundary_error_fraction,0.004422660779357051,0.007680472012563631,0.8474133748657594,0.8518360356451166,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,centroid_z,-2.0848741422089848e-05,0.0007610614815403577,0.5049611454662892,0.5049402967248671,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,dice,0.0009325731793248734,0.0036364008694673494,0.8887710221203972,0.889703595299722,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,edema_fraction,-0.004587804864932477,0.0029256696298548468,0.6179801798768801,0.6133923750119477,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,enhancing_fraction,0.0028071919923689007,0.0022906163031377116,0.2463861655845238,0.2491933575768927,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,false_negative_voxels,55.48266666666667,45.88743601808369,998.28,1053.7626666666667,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,false_positive_voxels,-69.96533333333333,64.5305248280308,1036.744,966.7786666666667,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,necrosis_fraction,0.0017806128725393702,0.0019827947120101413,0.13563365453719345,0.13741426740973284,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,0.5,tumor_volume,-125.448,81.06079345339592,11640.925333333333,11515.477333333334,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,boundary_complexity,-0.003239744877839018,0.08907305943804772,6.174654469857373,6.171414724979534,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,boundary_error_fraction,0.008727617848954431,0.014738164710349942,0.8474133748657594,0.8561409927147139,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,centroid_z,-5.463809559104008e-05,0.0014912115577086673,0.5049611454662892,0.5049065073706981,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,dice,0.0016382786923562916,0.007208313573975415,0.8887710221203972,0.8904093008127534,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,edema_fraction,-0.009064296024240576,0.005696759908075323,0.6179801798768801,0.6089158838526396,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,enhancing_fraction,0.0055510354175966024,0.004396280135976517,0.2463861655845238,0.2519372010021204,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,false_negative_voxels,113.312,94.93387082004504,998.28,1111.592,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,false_positive_voxels,-136.17333333333335,126.76669940655295,1036.744,900.5706666666666,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,necrosis_fraction,0.0035132606065958103,0.0038453416075064635,0.13563365453719345,0.13914691514378927,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,1.0,tumor_volume,-249.48533333333333,162.5088370228429,11640.925333333333,11391.44,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,boundary_complexity,0.011514275653025614,0.17685497945345643,6.174654469857373,6.186168745510399,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,boundary_error_fraction,0.01559339755715021,0.027700074188021142,0.8474133748657594,0.8630067724229096,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,centroid_z,-9.036770958505266e-05,0.0029220219529955582,0.5049611454662892,0.5048707777567042,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,dice,0.002015118179885483,0.01443786556535634,0.8887710221203972,0.8907861403002826,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,edema_fraction,-0.01813066994912149,0.01120101116654488,0.6179801798768801,0.5998495099277587,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,enhancing_fraction,0.011091670887448205,0.00853386886076541,0.2463861655845238,0.257477836471972,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,false_negative_voxels,241.89066666666668,205.0876721182966,998.28,1240.1706666666666,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,false_positive_voxels,-257.92,243.95003433354324,1036.744,778.824,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,necrosis_fraction,0.007038999061576099,0.007755804361116945,0.13563365453719345,0.14267265359876954,375
decoder1::boundary_error_fraction,decoder1,boundary_error_fraction,boundary_error_fraction,2.0,tumor_volume,-499.8106666666667,327.9075190696127,11640.925333333333,11141.114666666666,375
decoder1::dice,decoder1,dice,dice,-2.0,boundary_complexity,0.010390617572183018,0.11769887347259682,6.174654469857373,6.185045087429556,375
decoder1::dice,decoder1,dice,dice,-2.0,boundary_error_fraction,-0.01269679419463782,0.021590763483775862,0.8474133748657594,0.8347165806711216,375
decoder1::dice,decoder1,dice,dice,-2.0,centroid_z,5.647997475710231e-05,0.002086517622083587,0.5049611454662892,0.5050176254410463,375
decoder1::dice,decoder1,dice,dice,-2.0,dice,-0.0038809318038879907,0.010143778420162258,0.8887710221203972,0.8848900903165092,375
decoder1::dice,decoder1,dice,dice,-2.0,edema_fraction,0.008494553277301801,0.006530164792207985,0.6179801798768801,0.626474733154182,375
decoder1::dice,decoder1,dice,dice,-2.0,enhancing_fraction,-0.0046864797254789975,0.005341208202612453,0.2463861655845238,0.2416996858590448,375
decoder1::dice,decoder1,dice,dice,-2.0,false_negative_voxels,-143.74133333333333,120.97531357902598,998.28,854.5386666666667,375
decoder1::dice,decoder1,dice,dice,-2.0,false_positive_voxels,216.44266666666667,194.34375050886973,1036.744,1253.1866666666667,375
decoder1::dice,decoder1,dice,dice,-2.0,necrosis_fraction,-0.003808073551757633,0.004079312370722752,0.13563365453719345,0.13182558098543581,375
decoder1::dice,decoder1,dice,dice,-2.0,tumor_volume,360.184,233.80803808636858,11640.925333333333,12001.109333333334,375
decoder1::dice,decoder1,dice,dice,-1.0,boundary_complexity,0.0027971566685325087,0.06007656345137763,6.174654469857373,6.177451626525905,375
decoder1::dice,decoder1,dice,dice,-1.0,boundary_error_fraction,-0.006168970411988345,0.010592599489401538,0.8474133748657594,0.8412444044537712,375
decoder1::dice,decoder1,dice,dice,-1.0,centroid_z,3.096369965110549e-05,0.0009991067469530676,0.5049611454662892,0.5049921091659403,375
decoder1::dice,decoder1,dice,dice,-1.0,dice,-0.0016551460263426999,0.0051136502913881575,0.8887710221203972,0.8871158760940545,375
decoder1::dice,decoder1,dice,dice,-1.0,edema_fraction,0.0042067270754624735,0.003146821914525991,0.6179801798768801,0.6221869069523427,375
decoder1::dice,decoder1,dice,dice,-1.0,enhancing_fraction,-0.0023114475157672153,0.002618138391041678,0.2463861655845238,0.24407471806875658,375
decoder1::dice,decoder1,dice,dice,-1.0,false_negative_voxels,-74.55466666666666,62.93347283890396,998.28,923.7253333333333,375
decoder1::dice,decoder1,dice,dice,-1.0,false_positive_voxels,103.78133333333334,94.53403978124418,1036.744,1140.5253333333333,375
decoder1::dice,decoder1,dice,dice,-1.0,necrosis_fraction,-0.0018952795596626272,0.0019947915666137677,0.13563365453719345,0.13373837497753083,375
decoder1::dice,decoder1,dice,dice,-1.0,tumor_volume,178.336,116.45454994635693,11640.925333333333,11819.261333333334,375
decoder1::dice,decoder1,dice,dice,-0.5,boundary_complexity,0.0013560741357719645,0.03228745299504703,6.174654469857373,6.1760105439931445,375
decoder1::dice,decoder1,dice,dice,-0.5,boundary_error_fraction,-0.00323576144668023,0.0058268533440477685,0.8474133748657594,0.8441776134190793,375
decoder1::dice,decoder1,dice,dice,-0.5,centroid_z,1.6243671215970073e-05,0.0005108793972470384,0.5049611454662892,0.5049773891375052,375
decoder1::dice,decoder1,dice,dice,-0.5,dice,-0.0007583575140647443,0.0025298719876311517,0.8887710221203972,0.8880126646063324,375
decoder1::dice,decoder1,dice,dice,-0.5,edema_fraction,0.0021213089731732314,0.001678024190664677,0.6179801798768801,0.6201014888500535,375
decoder1::dice,decoder1,dice,dice,-0.5,enhancing_fraction,-0.001165795886422024,0.001401649255214867,0.2463861655845238,0.24522036969810176,375
decoder1::dice,decoder1,dice,dice,-0.5,false_negative_voxels,-38.24,32.63017533274974,998.28,960.04,375
decoder1::dice,decoder1,dice,dice,-0.5,false_positive_voxels,51.06933333333333,46.25609361023078,1036.744,1087.8133333333333,375
decoder1::dice,decoder1,dice,dice,-0.5,necrosis_fraction,-0.0009555130867347451,0.0010214026424073,0.13563365453719345,0.13467814145045873,375
decoder1::dice,decoder1,dice,dice,-0.5,tumor_volume,89.30933333333333,58.39722260384595,11640.925333333333,11730.234666666667,375
decoder1::dice,decoder1,dice,dice,0.5,boundary_complexity,0.0005647876107291054,0.035763965972496634,6.174654469857373,6.175219257468102,375
decoder1::dice,decoder1,dice,dice,0.5,boundary_error_fraction,0.0029373718788578388,0.005577325192481789,0.8474133748657594,0.8503507467446173,375
decoder1::dice,decoder1,dice,dice,0.5,centroid_z,-1.3983820921760204e-05,0.0005734033364798715,0.5049611454662892,0.5049471616453675,375
decoder1::dice,decoder1,dice,dice,0.5,dice,0.0006269303803772235,0.0026412144906374203,0.8887710221203972,0.8893979525007742,375
decoder1::dice,decoder1,dice,dice,0.5,edema_fraction,-0.0021410877777219427,0.0016264560627350846,0.6179801798768801,0.6158390920991582,375
decoder1::dice,decoder1,dice,dice,0.5,enhancing_fraction,0.0011647708038948228,0.0014162610871795661,0.2463861655845238,0.24755093638841863,375
decoder1::dice,decoder1,dice,dice,0.5,false_negative_voxels,39.592,33.017924802882,998.28,1037.872,375
decoder1::dice,decoder1,dice,dice,0.5,false_positive_voxels,-49.36266666666667,46.67462402236607,1036.744,987.3813333333334,375
decoder1::dice,decoder1,dice,dice,0.5,necrosis_fraction,0.00097631697381021,0.0010287792195606523,0.13563365453719345,0.13660997151100368,375
decoder1::dice,decoder1,dice,dice,0.5,tumor_volume,-88.95466666666667,58.1980352621796,11640.925333333333,11551.970666666666,375
decoder1::dice,decoder1,dice,dice,1.0,boundary_complexity,0.0010995386635685946,0.06662441694511681,6.174654469857373,6.175754008520942,375
decoder1::dice,decoder1,dice,dice,1.0,boundary_error_fraction,0.0058910006725228685,0.010589671354169359,0.8474133748657594,0.8533043755382823,375
decoder1::dice,decoder1,dice,dice,1.0,centroid_z,-2.8849563551232767e-05,0.001074670450170297,0.5049611454662892,0.504932295902738,375
decoder1::dice,decoder1,dice,dice,1.0,dice,0.001129182455822331,0.005179021931193521,0.8887710221203972,0.8899002045762195,375
decoder1::dice,decoder1,dice,dice,1.0,edema_fraction,-0.004232041401204713,0.003237172945775879,0.6179801798768801,0.6137481384756754,375
decoder1::dice,decoder1,dice,dice,1.0,enhancing_fraction,0.002301169919938184,0.00269550270413386,0.2463861655845238,0.248687335504462,375
decoder1::dice,decoder1,dice,dice,1.0,false_negative_voxels,80.58933333333333,67.70849671665466,998.28,1078.8693333333333,375
decoder1::dice,decoder1,dice,dice,1.0,false_positive_voxels,-97.008,91.59386313889091,1036.744,939.736,375
decoder1::dice,decoder1,dice,dice,1.0,necrosis_fraction,0.0019308714812325339,0.0020275276688114835,0.13563365453719345,0.137564526018426,375
decoder1::dice,decoder1,dice,dice,1.0,tumor_volume,-177.59733333333332,116.9353333487499,11640.925333333333,11463.328,375
decoder1::dice,decoder1,dice,dice,2.0,boundary_complexity,0.01293655170456536,0.1345317171978857,6.174654469857373,6.187591021561938,375
decoder1::dice,decoder1,dice,dice,2.0,boundary_error_fraction,0.011000749114721448,0.02093779877621429,0.8474133748657594,0.8584141239804809,375
decoder1::dice,decoder1,dice,dice,2.0,centroid_z,-3.4330993519756806e-05,0.002134241173953925,0.5049611454662892,0.5049268144727694,375
decoder1::dice,decoder1,dice,dice,2.0,dice,0.0016918603518875075,0.010596677793365313,0.8887710221203972,0.8904628824722847,375
decoder1::dice,decoder1,dice,dice,2.0,edema_fraction,-0.008368414219315985,0.006362249652653689,0.6179801798768801,0.6096117656575641,375
decoder1::dice,decoder1,dice,dice,2.0,enhancing_fraction,0.00453986165779097,0.005264863306158097,0.2463861655845238,0.2509260272423148,375
decoder1::dice,decoder1,dice,dice,2.0,false_negative_voxels,169.328,144.62519007516664,998.28,1167.608,375
decoder1::dice,decoder1,dice,dice,2.0,false_positive_voxels,-186.944,180.51810331838854,1036.744,849.8,375
decoder1::dice,decoder1,dice,dice,2.0,necrosis_fraction,0.0038285525614565044,0.00399509121721876,0.13563365453719345,0.13946220709864998,375
decoder1::dice,decoder1,dice,dice,2.0,tumor_volume,-356.272,237.5360386729751,11640.925333333333,11284.653333333334,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,boundary_complexity,0.0708936306215313,0.2765396347124856,6.174654469857373,6.245548100478905,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,boundary_error_fraction,-0.03451137676463671,0.04902323179337029,0.8474133748657594,0.8129019981011227,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,centroid_z,0.00018084756622284296,0.005132317752331511,0.5049611454662892,0.5051419930325121,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,dice,-0.01362673894332502,0.024105689997722047,0.8887710221203972,0.875144283177072,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,edema_fraction,0.04173825391472605,0.027741195975662287,0.6179801798768801,0.6597184337916061,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,enhancing_fraction,-0.02267348144480639,0.016908533191939367,0.2463861655845238,0.22371268413971743,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,false_negative_voxels,-298.99733333333336,255.50943658773792,998.28,699.2826666666666,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,false_positive_voxels,578.28,477.8428119593057,1036.744,1615.024,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,necrosis_fraction,-0.01906477246976649,0.022836186628276505,0.13563365453719345,0.11656888206742698,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-2.0,tumor_volume,877.2773333333333,551.2491579227285,11640.925333333333,12518.202666666666,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-1.0,boundary_complexity,0.028407979925585355,0.13574786064804964,6.174654469857373,6.2030624497829585,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-1.0,boundary_error_fraction,-0.016007135213105612,0.02426530059591029,0.8474133748657594,0.8314062396526539,375
decoder1::gt_edema_frac,decoder1,gt_edema_frac,edema_fraction,-1.0,centroid_z,0.00010438958907070162,0.0024304832304829155,0.5049611454662892,0.5050655350553599,375
