method,mean_edema_dice,mean_fg_dice,mean_wt_dice,mean_abs_edema_vol_err,mean_enh_vol_change,mean_nec_vol_change,mean_runtime
F_proposed,0.8218550925168332,0.8216213401854091,0.8931319668025669,1512.5,-36.520304361979164,-35.3219960530599,1.2241131390134494
E_random_03,0.8214536995171735,0.8209931407416743,0.8927533619316607,1386.6666666666667,-10.65301513671875,-8.462514241536459,2.402667965235499
E_random_02,0.821440060952613,0.8210678012912552,0.8919584948535314,1262.6666666666667,-1.0773722330729167,-5.005116780598958,2.392703972174786
E_random_01,0.8213119618693653,0.821504016694826,0.8912614431045314,1193.5,-18.726949055989582,-9.385030110677084,2.414042923677092
E_random_04,0.8212636803531402,0.8208999234095619,0.8922158163826968,1308.0,9.240254720052084,-4.418986002604167,2.392089090271232
A_baseline,0.8211928560560039,0.8210072794435271,0.8919644323021552,1256.5,0.0,0.0,1.3248542221651103
D_logit_bias,0.8208535322073889,0.8225898577066606,0.8895599108429079,1029.5,-50.30535888671875,-52.721435546875,1.3177712223647784
E_random_00,0.8203158205763854,0.8205222720568326,0.8913526838293798,1220.6666666666667,-5.178507486979167,15.101593017578125,2.3932259930297732
B_global_probe,0.8194585320618888,0.819399518673448,0.8925382549428275,1437.0,1.70831298828125,44.580596923828125,1.3514691736393918
C_global_output,0.8146660458429693,0.8130230916324089,0.8830217358001219,1898.8333333333333,-252.7283935546875,-218.62503051757812,1.320205562398769
