case_id,edema_dice,wt_dice,edema_voxels_gt
BraTS2021_01541,0.8166728832526032,0.9050877899235422,10997
BraTS2021_00304,0.9311589793517784,0.9532108153781281,12530
BraTS2021_01552,0.9315488129536007,0.9585933331786962,14050
BraTS2021_00730,0.9238142928679277,0.9478406008763051,6781
BraTS2021_01568,0.9485210466439282,0.9606315150288532,18041
BraTS2021_00409,0.9162600816489513,0.9469826700459117,10187
BraTS2021_00808,0.9404873967158455,0.9617719040626623,14039
BraTS2021_01280,0.9278870796041762,0.956800227741808,12570
BraTS2021_00800,0.7860900808420556,0.8735950480535318,3256
BraTS2021_01613,0.9337842916197416,0.9511975276848113,6565
BraTS2021_01181,0.8547368421060277,0.9600933488915285,923
BraTS2021_01119,0.6805404227504025,0.8099959693673439,3986
BraTS2021_01205,0.32448598131093653,0.6709171162339858,924
BraTS2021_01112,0.7929105510939946,0.973720404754894,9606
BraTS2021_00539,0.8698721363879396,0.9045631982770546,8229
BraTS2021_00840,0.9008982691886728,0.9395426473043099,13115
BraTS2021_00449,0.8828585461689947,0.9536987759446602,16826
BraTS2021_01657,0.9502677376171519,0.9630049525628133,15113
BraTS2021_01245,0.6960614907944372,0.7912905382815985,9178
BraTS2021_01335,0.9586377671119933,0.9657245277816171,16656
BraTS2021_00781,0.8563027497958855,0.9277238403452218,8617
BraTS2021_01626,0.8987527512840563,0.9372851435473963,4327
BraTS2021_01517,0.6273118824425187,0.8810716254103949,11309
BraTS2021_01641,0.9230769230769589,0.9507120143785598,11228
BraTS2021_00589,0.6418099802652651,0.8394852811564113,5142
BraTS2021_01638,0.8446927374304155,0.9440993788820246,3104
BraTS2021_01562,0.8900145960334077,0.9525444091650422,6029
BraTS2021_01566,0.5487353485509736,0.7762462071956859,2255
BraTS2021_01545,0.6355575459026999,0.6836554007239328,3815
BraTS2021_01142,0.863884609998695,0.9627985000986868,7157
BraTS2021_00051,0.9186672091867089,0.9390696501279361,10643
BraTS2021_01376,0.9276492082826703,0.9668488160291681,4086
BraTS2021_00159,0.8596130799521832,0.9414355628058967,6196
BraTS2021_01511,0.6373581433393123,0.9260824645440203,10266
BraTS2021_01306,0.9346648612052009,0.9506583707133912,5933
BraTS2021_01094,0.8608165326497064,0.6645253390436259,13291
BraTS2021_01214,0.8361637657671509,0.8939773856271496,6536
BraTS2021_00293,0.7594047126914433,0.7832942280621461,4148
BraTS2021_01504,0.6246595242425556,0.9514956414801058,2847
BraTS2021_00369,0.9570428634969784,0.9726033092209253,21886
BraTS2021_00299,0.8795986622074494,0.9045219638243511,6294
BraTS2021_01529,0.36738945175706145,0.9065442287574645,2286
BraTS2021_01585,0.9006128055223634,0.954681274900421,7145
BraTS2021_01290,0.8738098836332571,0.9221139045665243,3181
BraTS2021_00242,0.4926540166345472,0.7031148027292486,14269
BraTS2021_00165,0.9424720831729361,0.9682724898594387,6531
BraTS2021_01180,0.8194880578552577,0.9200055455427977,11683
BraTS2021_01432,0.7839627707178022,0.946266691425976,17905
BraTS2021_01464,0.6677145551718521,0.809061488673345,2471
BraTS2021_01003,0.6282869819287649,0.9249019942049004,5539
BraTS2021_01186,0.7359625668458023,0.8863933141813967,1726
BraTS2021_01440,0.25284027623161853,0.5751721371752289,1920
BraTS2021_00413,0.9455665377453477,0.9730500244999898,7007
BraTS2021_01354,0.8889493739794149,0.9233521033455294,5607
BraTS2021_01353,0.8876125426887805,0.9447647387019298,3296
BraTS2021_01083,0.9523718984694589,0.9640580309452551,10739
BraTS2021_01665,0.938751262401254,0.9525242851279374,17075
BraTS2021_01018,0.9078708984768785,0.9662554984773551,7462
BraTS2021_01604,0.928615290144332,0.9300803105850378,13200
BraTS2021_01291,0.8616151821582895,0.9609995329285532,7269
