variant,initial_edema_dice,best_edema_dice,final_edema_dice,max_improvement,n_params,mean_perturbation_rms,mean_edit_outside_support,runtime_s,unet_unchanged,gain_ge_0_05
A_rank1_probe,0.6732578536123852,0.8336387701082597,0.8336387701082597,0.1603809164958745,34,0.3265922963619232,0.9453165562947591,21.625353540992364,True,True
B_free_dir,0.6732578536123852,0.8421052631582119,0.8421052631582119,0.16884740954582667,66,0.27429526671767235,0.9455654271443685,20.454729833174497,True,True
C_multi4,0.6528799019613161,0.8317757009349213,0.8317757009349213,0.1788957989736052,260,0.08765951450914145,0.9455678621927898,21.178738957969472,True,True
