failure_def,model_seed,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
mean_fg_lt_0.70,42,conf_consistency,confidence,capture20_diff,0.09641784947669414,0.016129032258064502,0.18309859154929575,0.988
mean_fg_lt_0.70,42,conf_consistency,confidence,aurc_diff,-0.0014176897583389162,-0.007471545110137352,0.0047859050735240445,0.313
mean_fg_lt_0.70,42,conf_consistency,confidence,dice80_diff,0.0032179515505942496,-0.0012515002280716586,0.00749414652028299,0.934
mean_fg_lt_0.70,42,conf_consistency,conf_morph,auprc_diff,0.036768000974785005,-0.011524003917726197,0.08566255256103723,0.9366
mean_fg_lt_0.70,42,conf_consistency,conf_morph,capture20_diff,0.036154608031298836,-0.032271285034373424,0.10171664493698367,0.8136
mean_fg_lt_0.70,42,conf_consistency,conf_morph,aurc_diff,-0.006457032467309457,-0.010886918132635535,-0.0028926670683066986,0.0
mean_fg_lt_0.70,42,conf_consistency,conf_morph,dice80_diff,0.0014136161729925052,-0.002690300649283647,0.00532530747967656,0.7704
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,auprc_diff,0.05571316753085258,-0.019463215442641364,0.1394988831225725,0.9238
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,capture20_diff,0.03350181354151003,-0.05063827504827284,0.11596014492753604,0.7376
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,aurc_diff,-0.00358842027831178,-0.008507797393787646,0.0010169644258740279,0.063
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,dice80_diff,0.001213858182230725,-0.003478469371924711,0.005848075270258671,0.707
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.020679116779684734,-0.05541789547034719,0.011742699855951682,0.1026
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,capture20_diff,0.0018496650242962008,-0.06329113924050633,0.06944444444444453,0.4268
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,aurc_diff,3.964272058866475e-05,-0.002574191266582361,0.00264280670260985,0.519
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,dice80_diff,-0.00015876548845854765,-0.0038796583154568852,0.0036596411895222416,0.4688
mean_fg_lt_0.70,42,consistency,morphology,auprc_diff,-0.009668878987125564,-0.10160416191988507,0.07966067182782557,0.4126
mean_fg_lt_0.70,42,consistency,morphology,capture20_diff,-0.03331001502658088,-0.13432835820895517,0.0625,0.2118
mean_fg_lt_0.70,42,consistency,morphology,aurc_diff,-0.007566643532680111,-0.018750556297009852,0.003743710259202487,0.09
mean_fg_lt_0.70,42,consistency,morphology,dice80_diff,-0.008090293739517813,-0.01597163715868693,-0.000557450450003506,0.0168
edema_lt_0.70,42,conf_consistency,confidence,auprc_diff,0.005447119062754816,-0.02738124640526032,0.03868147512198235,0.6322
edema_lt_0.70,42,conf_consistency,confidence,capture20_diff,0.01983905373724616,-0.033333333333333326,0.07692307692307687,0.6904
edema_lt_0.70,42,conf_consistency,confidence,aurc_diff,-0.004270435817522454,-0.0066001089334334125,-0.0022521966480563067,0.0002
edema_lt_0.70,42,conf_consistency,confidence,dice80_diff,-0.003996528927504215,-0.00846104912463547,0.0004880011195426466,0.039
edema_lt_0.70,42,conf_consistency,conf_morph,auprc_diff,-0.04165743148328171,-0.07213603208753991,-0.016261697546035965,0.0006
edema_lt_0.70,42,conf_consistency,conf_morph,capture20_diff,-0.029040618811857304,-0.08602150537634412,0.02298850574712641,0.0988
edema_lt_0.70,42,conf_consistency,conf_morph,aurc_diff,-0.00026492334566931763,-0.003750519701775854,0.0030685547229688487,0.4414
edema_lt_0.70,42,conf_consistency,conf_morph,dice80_diff,-0.0004890169991078883,-0.005102665655819699,0.004333753509415801,0.4122
edema_lt_0.70,42,conf_consistency,conf_pooled,auprc_diff,0.045612960739866766,-0.005015018559638217,0.10253817588735484,0.9606
edema_lt_0.70,42,conf_consistency,conf_pooled,capture20_diff,0.03731608991575125,-0.03191489361702127,0.10784976152623207,0.8092
edema_lt_0.70,42,conf_consistency,conf_pooled,aurc_diff,0.004507228021537198,-0.00040303958883496706,0.00988629486990547,0.9636
edema_lt_0.70,42,conf_consistency,conf_pooled,dice80_diff,0.004665497889955496,-0.0014850675228882172,0.01102055554216879,0.9324
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.006049061742375752,-0.05005617158222951,0.033154405971946216,0.4034
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,capture20_diff,-0.0019691580152312455,-0.060975609756097504,0.060975609756097504,0.3934
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,aurc_diff,-0.004138350161446295,-0.007736817883822411,-0.0005653092913635836,0.0102
edema_lt_0.70,42,conf_morph_consistency,conf_consistency,dice80_diff,-0.0013643632974080229,-0.0070195419196429016,0.003814764601053364,0.3152
edema_lt_0.70,42,consistency,morphology,auprc_diff,-0.12181249017257151,-0.21202880411346248,-0.03578518338427241,0.0016
edema_lt_0.70,42,consistency,morphology,capture20_diff,-0.11659089102096837,-0.22093023255813948,-0.021739130434782594,0.0062
edema_lt_0.70,42,consistency,morphology,aurc_diff,-0.019078272764065637,-0.03499304248772537,-0.0032773449045873084,0.008
edema_lt_0.70,42,consistency,morphology,dice80_diff,-0.0056116136829251866,-0.014746652830892012,0.003931688177094469,0.12
lowest20_edema,42,conf_consistency,confidence,auprc_diff,-0.014274405359137132,-0.05829549654421053,0.030473247414349598,0.2652
lowest20_edema,42,conf_consistency,confidence,capture20_diff,0.0014991808499439782,-0.06493506493506496,0.07018161601186054,0.4342
lowest20_edema,42,conf_consistency,confidence,aurc_diff,-0.010977134883733827,-0.01847569156338097,-0.0052290705684878945,0.0
lowest20_edema,42,conf_consistency,confidence,dice80_diff,-0.004851002342303734,-0.009684365354038816,-0.0004552037133932375,0.0148
lowest20_edema,42,conf_consistency,conf_morph,auprc_diff,-0.043589183138613916,-0.0999651866527276,0.011323985337220854,0.059
lowest20_edema,42,conf_consistency,conf_morph,capture20_diff,-0.011525103285253007,-0.08333333333333337,0.055571161048688936,0.3042
lowest20_edema,42,conf_consistency,conf_morph,aurc_diff,-0.002335511030490216,-0.008247604281876212,0.003443211174004166,0.2102
lowest20_edema,42,conf_consistency,conf_morph,dice80_diff,0.00041874014421565224,-0.003833900910443072,0.005141538484448252,0.567
lowest20_edema,42,conf_consistency,conf_pooled,auprc_diff,0.04766354038918507,-0.030486605387481377,0.12878355679998768,0.873
lowest20_edema,42,conf_consistency,conf_pooled,capture20_diff,0.024122323850270137,-0.06174768518518512,0.1097560975609756,0.6602
lowest20_edema,42,conf_consistency,conf_pooled,aurc_diff,-0.0008323608013028936,-0.010257915749115816,0.007435760873211837,0.4398
lowest20_edema,42,conf_consistency,conf_pooled,dice80_diff,0.0027543025192615224,-0.004253388947119859,0.010168462102405358,0.7726
lowest20_edema,42,conf_morph_consistency,conf_consistency,auprc_diff,0.02014821864290054,-0.025625481810841722,0.06518834719263228,0.8186
lowest20_edema,42,conf_morph_consistency,conf_consistency,capture20_diff,0.01023245487003377,-0.05952380952380942,0.08333333333333337,0.5408
lowest20_edema,42,conf_morph_consistency,conf_consistency,aurc_diff,4.684063034483682e-07,-0.0053244541200630794,0.005725010177654649,0.5012
lowest20_edema,42,conf_morph_consistency,conf_consistency,dice80_diff,0.000531339488128133,-0.0027373504304750275,0.0040815404450370105,0.6104
lowest20_edema,42,consistency,morphology,auprc_diff,-0.10859940588245895,-0.20847114659795637,-0.011851197825082769,0.0178
lowest20_edema,42,consistency,morphology,capture20_diff,-0.12734276897745445,-0.2328767123287671,-0.026307245386192852,0.0036
lowest20_edema,42,consistency,morphology,aurc_diff,-0.01762806597920116,-0.03132444093116205,-0.004790960869359487,0.004
lowest20_edema,42,consistency,morphology,dice80_diff,-0.004539046298640428,-0.01315763745450032,0.0039054184218189998,0.1468
