case_id,dice,boundary_error_fraction,false_positive_voxels,false_negative_voxels,confident_false_negative_fraction,missed_small_lesion_count,mean_entropy_error,mean_entropy_nonerror,entropy_error_auroc,entropy_error_auprc,overlap_top_5_uncertainty,overlap_top_10_uncertainty,overlap_top_20_uncertainty,path_embedding,path_entropy,path_prediction,path_ground_truth
BraTS2021_01198,0.8695064232590052,0.9258249250068176,594,3073,0.21900423039375203,1,0.40849554538726807,0.2666238248348236,0.6184730897650988,0.3021358866272956,0.06244886828470139,0.12735205890373602,0.3032451595309517,outputs_10hour/embeddings/epoch_005/BraTS2021_01198_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01198_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01198_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01198_gt.npy
BraTS2021_01193,0.9156370265343753,0.8967587034813925,385,1281,0.00234192037470726,1,0.5992946624755859,0.26479312777519226,0.7879282229427553,0.3008149542308385,0.09243697478991597,0.17767106842737096,0.39735894357743096,outputs_10hour/embeddings/epoch_005/BraTS2021_01193_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01193_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01193_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01193_gt.npy
BraTS2021_01192,0.9297535300369629,0.9420028818443804,478,2298,0.15883376849434291,0,0.4850951135158539,0.40621528029441833,0.5704810841608055,0.14255459167115192,0.04142651296829971,0.07420749279538905,0.1282420749279539,outputs_10hour/embeddings/epoch_005/BraTS2021_01192_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01192_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01192_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01192_gt.npy
BraTS2021_01190,0.9517171603619944,0.9656577415599534,550,1168,0.019691780821917807,1,0.5593161582946777,0.1837504804134369,0.8526303735795061,0.2695886932851212,0.11932479627473806,0.30558789289871946,0.680442374854482,outputs_10hour/embeddings/epoch_005/BraTS2021_01190_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01190_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01190_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01190_gt.npy
BraTS2021_01188,0.9159928254285878,0.855442772138607,343,2514,0.09268098647573587,0,0.5485658049583435,0.3587445914745331,0.6682199929205499,0.23104690750712323,0.08715435771788589,0.16065803290164507,0.26741337066853343,outputs_10hour/embeddings/epoch_005/BraTS2021_01188_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01188_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01188_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01188_gt.npy
BraTS2021_01184,0.8025174825177587,0.9157223796033994,312,1100,0.0,0,0.23807133734226227,0.13123846054077148,0.7386717643027894,0.48193831193897935,0.06586402266288952,0.14943342776203966,0.28753541076487255,outputs_10hour/embeddings/epoch_005/BraTS2021_01184_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01184_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01184_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01184_gt.npy
BraTS2021_01183,0.9055845999377123,0.896956362302897,594,2133,0.22315986872948898,0,0.39457350969314575,0.1976613998413086,0.668866017457636,0.2817118229282805,0.058672533920058674,0.1771177117711771,0.42244224422442245,outputs_10hour/embeddings/epoch_005/BraTS2021_01183_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01183_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01183_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01183_gt.npy
BraTS2021_01174,0.9442486846551411,0.8614718614718615,301,854,0.01639344262295082,0,0.6274864077568054,0.2694588601589203,0.7993171671732147,0.2470590196100891,0.12813852813852813,0.24935064935064935,0.4987012987012987,outputs_10hour/embeddings/epoch_005/BraTS2021_01174_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01174_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01174_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01174_gt.npy
BraTS2021_01239,0.8976678445230405,0.8225138121546961,1336,112,0.0,5,0.3025031089782715,0.0791352242231369,0.8380065435381908,0.4410886248701558,0.12016574585635359,0.26588397790055246,0.5421270718232044,outputs_10hour/embeddings/epoch_005/BraTS2021_01239_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01239_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01239_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01239_gt.npy
BraTS2021_01241,0.8956187247359839,0.9647095565271705,600,2602,0.25403535741737127,32,0.3063564598560333,0.1841496378183365,0.6160879740618544,0.26049387874359214,0.0434103685196752,0.15021861336664585,0.34291068082448467,outputs_10hour/embeddings/epoch_005/BraTS2021_01241_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01241_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01241_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01241_gt.npy
BraTS2021_01243,0.8767187135866723,0.9949590422180214,405,1182,0.0008460236886632825,12,0.3760907053947449,0.1319497674703598,0.8012512169975772,0.4387153515088851,0.10270951480781348,0.2091997479521109,0.4297416509136736,outputs_10hour/embeddings/epoch_005/BraTS2021_01243_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01243_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01243_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01243_gt.npy
BraTS2021_01251,0.9387298747764036,0.9990875912408759,1729,463,0.032397408207343416,5,0.46857503056526184,0.13919830322265625,0.8828588485392768,0.37541286229739224,0.1437043795620438,0.39005474452554745,0.718978102189781,outputs_10hour/embeddings/epoch_005/BraTS2021_01251_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01251_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01251_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01251_gt.npy
BraTS2021_01336,0.9597363979747973,0.9640718562874252,337,164,0.0,0,0.4962553381919861,0.1195964589715004,0.8871468250903988,0.2663066924875896,0.1277445109780439,0.42714570858283435,0.7345309381237525,outputs_10hour/embeddings/epoch_005/BraTS2021_01336_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01336_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01336_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01336_gt.npy
BraTS2021_01334,0.9446188790166714,0.8468033775633294,541,288,0.0,0,0.538488507270813,0.105826236307621,0.9088837627515983,0.40410050384686286,0.16887816646562123,0.4209891435464415,0.7828709288299156,outputs_10hour/embeddings/epoch_005/BraTS2021_01334_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01334_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01334_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01334_gt.npy
BraTS2021_01327,0.6564633859202814,0.135709389993146,1366,93,0.06451612903225806,0,0.7913957834243774,0.22111572325229645,0.9262948128816046,0.9036623340679908,0.09252912954078135,0.18094585332419466,0.3605209047292666,outputs_10hour/embeddings/epoch_005/BraTS2021_01327_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01327_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01327_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01327_gt.npy
BraTS2021_01320,0.9653418932447734,0.994956441999083,599,1582,0.1011378002528445,5,0.5431415438652039,0.24912044405937195,0.7938416495417799,0.19948524381276025,0.11233379183860615,0.4034846400733608,0.6776707932141219,outputs_10hour/embeddings/epoch_005/BraTS2021_01320_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01320_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01320_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01320_gt.npy
BraTS2021_01319,0.9460702875399706,0.9739336492890995,102,742,0.006738544474393531,3,0.4636118412017822,0.14981544017791748,0.831420655005368,0.26465648459872093,0.1066350710900474,0.27014218009478674,0.556872037914692,outputs_10hour/embeddings/epoch_005/BraTS2021_01319_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01319_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01319_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01319_gt.npy
BraTS2021_01317,0.9676871283390593,0.8286270691333982,664,363,0.005509641873278237,0,0.51750648021698,0.168829083442688,0.8594938228501546,0.1910073033710582,0.054527750730282376,0.3456669912366115,0.7273612463485881,outputs_10hour/embeddings/epoch_005/BraTS2021_01317_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01317_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01317_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01317_gt.npy
BraTS2021_01314,0.8990138284392601,0.7583196944899072,1265,568,0.051056338028169015,0,0.5203794240951538,0.17373338341712952,0.8371793233595759,0.44748599315517557,0.09765411893071467,0.270594653573377,0.5564648117839607,outputs_10hour/embeddings/epoch_005/BraTS2021_01314_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01314_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01314_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01314_gt.npy
BraTS2021_01313,0.9449811390192416,0.9853678929765887,242,2150,0.052093023255813956,0,0.47156161069869995,0.2416476607322693,0.7506854176564273,0.19522653369547854,0.05560200668896321,0.13712374581939799,0.45944816053511706,outputs_10hour/embeddings/epoch_005/BraTS2021_01313_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01313_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01313_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01313_gt.npy
BraTS2021_01312,0.9646843725943203,0.9741144414168937,397,337,0.0,0,0.5468811988830566,0.10864879190921783,0.9235540576352035,0.3648664790165834,0.3228882833787466,0.5844686648501363,0.8678474114441417,outputs_10hour/embeddings/epoch_005/BraTS2021_01312_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01312_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01312_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01312_gt.npy
BraTS2021_01173,0.9519825391051583,0.9659090909090909,497,295,0.0,0,0.5783684253692627,0.22368496656417847,0.8327485786408216,0.2688938995858883,0.17297979797979798,0.30176767676767674,0.5871212121212122,outputs_10hour/embeddings/epoch_005/BraTS2021_01173_embedding.npy,outputs_10hour/uncertainty/epoch_005/BraTS2021_01173_entropy.npy,outputs_10hour/predictions/epoch_005/BraTS2021_01173_pred_tta.npy,outputs_10hour/ground_truth/epoch_005/BraTS2021_01173_gt.npy
