step,loss,l_tr,l_seg,l_sp,scale,nonzero_mass,dev_edema_dice
1,2.177258014678955,1.9162205457687378,0.504863977432251,0.8605492115020752,0.12574158608913422,0.8605492115020752,
2,1.1959043741226196,0.9557278752326965,0.46647194027900696,0.6940462589263916,0.12659399211406708,0.6940462589263916,
3,6.019221782684326,5.967056751251221,0.09702363610267639,0.36532062292099,0.12760327756404877,0.36532062292099,
4,9.059000015258789,8.933516502380371,0.2479773759841919,0.1494237184524536,0.12842579185962677,0.1494237184524536,
5,2.130309820175171,2.0929861068725586,0.07379842549562454,0.042429763823747635,0.1292094886302948,0.042429763823747635,
6,1.6900017261505127,1.6590888500213623,0.06093388795852661,0.04459100961685181,0.1299929916858673,0.04459100961685181,
7,12.943084716796875,12.860794067382812,0.16295945644378662,0.0811014175415039,0.13085266947746277,0.0811014175415039,
8,1.7680654525756836,1.7366832494735718,0.060931574553251266,0.09163395315408707,0.13164804875850677,0.09163395315408707,
9,1.7767542600631714,1.7524492740631104,0.0458851158618927,0.13623836636543274,0.13232365250587463,0.13623836636543274,
10,1.9996564388275146,1.9398231506347656,0.11541926860809326,0.21236048638820648,0.13291990756988525,0.21236048638820648,
11,1.610602617263794,1.5738784074783325,0.06833389401435852,0.2557253837585449,0.1334453821182251,0.2557253837585449,
12,1.2596614360809326,1.117384910583496,0.27793315052986145,0.3309948444366455,0.1340656578540802,0.3309948444366455,
13,2.9800004959106445,2.722425699234009,0.5079355239868164,0.3607056736946106,0.13437743484973907,0.3607056736946106,
14,2.1896626949310303,1.9386910200119019,0.49443912506103516,0.3752058744430542,0.13444402813911438,0.3752058744430542,
15,1.5820013284683228,1.5150115489959717,0.12661035358905792,0.36846134066581726,0.1343802511692047,0.36846134066581726,
16,1.5023943185806274,1.3693909645080566,0.2584923207759857,0.37572064995765686,0.1342042088508606,0.37572064995765686,
17,1.2243176698684692,1.1817423105239868,0.0777076855301857,0.37214580178260803,0.1338886320590973,0.37214580178260803,
18,1.6323281526565552,1.5963956117630005,0.06479663401842117,0.3534165620803833,0.13355417549610138,0.3534165620803833,
19,2.0045011043548584,1.9185030460357666,0.16484996676445007,0.3573160171508789,0.13321231305599213,0.3573160171508789,
20,1.6017955541610718,1.569183349609375,0.05867181345820427,0.3276291489601135,0.1328640580177307,0.3276291489601135,
21,1.4125388860702515,1.3873262405395508,0.044114984571933746,0.31551098823547363,0.13251882791519165,0.31551098823547363,
22,1.5843290090560913,1.5555990934371948,0.05109547823667526,0.3182217478752136,0.13216595351696014,0.3182217478752136,
23,1.7420227527618408,1.7049285173416138,0.06834878772497177,0.2919777035713196,0.13183468580245972,0.2919777035713196,
24,1.5332441329956055,1.397031307220459,0.2673432230949402,0.254122793674469,0.1313997209072113,0.254122793674469,
25,0.9163752198219299,0.6617898344993591,0.5046828985214233,0.2243913859128952,0.13102522492408752,0.2243913859128952,0.7786779601094443
26,1.9029786586761475,1.7541242837905884,0.29560261964797974,0.10531099140644073,0.13060078024864197,0.10531099140644073,
27,1.48676335811615,1.4225691556930542,0.12634782493114471,0.10203152894973755,0.1301463395357132,0.10203152894973755,
28,1.7143192291259766,1.5896501541137695,0.24846050143241882,0.043876104056835175,0.1296522170305252,0.043876104056835175,
29,1.1836659908294678,1.1454874277114868,0.07575797289609909,0.02995767816901207,0.12911394238471985,0.02995767816901207,
30,1.3387590646743774,1.3061734437942505,0.06462930887937546,0.02709137462079525,0.12860694527626038,0.02709137462079525,
31,2.1454150676727295,2.0615899562835693,0.16661417484283447,0.05181560292840004,0.12815798819065094,0.05181560292840004,
32,1.4789798259735107,1.4500160217285156,0.05742665380239487,0.025045951828360558,0.1277812272310257,0.025045951828360558,
33,0.8662040829658508,0.843988299369812,0.04345950484275818,0.04860404133796692,0.1274559497833252,0.04860404133796692,
34,0.9606618285179138,0.9345219135284424,0.05096741020679474,0.0656191036105156,0.12714263796806335,0.0656191036105156,
35,1.5320073366165161,1.4978238344192505,0.06728968024253845,0.05387523025274277,0.12681664526462555,0.05387523025274277,
36,1.0528520345687866,0.9184766411781311,0.2672221064567566,0.07644158601760864,0.12639787793159485,0.07644158601760864,
37,1.0241940021514893,0.7782742381095886,0.4897509813308716,0.10442851483821869,0.12591524422168732,0.10442851483821869,
38,0.6692991256713867,0.4214683175086975,0.4936985969543457,0.09815153479576111,0.12541839480400085,0.09815153479576111,
39,0.9785318970680237,0.9277099967002869,0.10003072023391724,0.08064848184585571,0.1249036118388176,0.08064848184585571,
40,1.4054322242736816,1.2765283584594727,0.2557777166366577,0.10148885846138,0.12431919574737549,0.10148885846138,
41,0.8540334701538086,0.8162314891815186,0.07423935830593109,0.06822732836008072,0.1237373948097229,0.06822732836008072,
42,0.9853072762489319,0.9533200263977051,0.06291751563549042,0.052850279957056046,0.12321026623249054,0.052850279957056046,
43,2.560777425765991,2.477761745452881,0.16449394822120667,0.07686684280633926,0.12275951355695724,0.07686684280633926,
44,1.5897009372711182,1.5600038766860962,0.05848512053489685,0.04544994607567787,0.12227332592010498,0.04544994607567787,
45,0.7879465222358704,0.7656311392784119,0.04352419823408127,0.05533062294125557,0.12183566391468048,0.05533062294125557,
46,1.1983883380889893,1.1394853591918945,0.11590705811977386,0.09495088458061218,0.1213342472910881,0.09495088458061218,
47,1.5509819984436035,1.5162887573242188,0.06826281547546387,0.05618187040090561,0.12085877358913422,0.05618187040090561,
48,0.8706508874893188,0.6923198699951172,0.3555441200733185,0.05589759349822998,0.12040453404188156,0.05589759349822998,
49,1.5385246276855469,1.4368064403533936,0.2027978152036667,0.03192423656582832,0.11995917558670044,0.03192423656582832,
50,0.9535108208656311,0.8296420574188232,0.2468212991952896,0.04581190273165703,0.11954334378242493,0.04581190273165703,0.7789021364427161
51,0.9794961810112,0.912243127822876,0.13225987553596497,0.11231555789709091,0.1190815195441246,0.11231555789709091,
52,1.2492107152938843,1.1231496334075928,0.2501220107078552,0.10000978410243988,0.11852207034826279,0.10000978410243988,
53,0.7902567386627197,0.7519506812095642,0.07488980889320374,0.08611656725406647,0.1178937628865242,0.08611656725406647,
54,0.9012736678123474,0.8694164752960205,0.06245028227567673,0.06320565938949585,0.11729823797941208,0.06320565938949585,
55,2.112696409225464,2.030444860458374,0.16236035525798798,0.10714709758758545,0.11677152663469315,0.10714709758758545,
56,1.3088339567184448,1.2758511304855347,0.06421250849962234,0.08765207976102829,0.11628326773643494,0.08765207976102829,
57,0.5769737958908081,0.5546121597290039,0.0434187650680542,0.06522344052791595,0.1158674955368042,0.06522344052791595,
58,1.1002808809280396,1.0437102317810059,0.11099084466695786,0.10753268748521805,0.1154172495007515,0.10753268748521805,
59,1.3659517765045166,1.3315893411636353,0.06726925820112228,0.07277467846870422,0.11497051268815994,0.07277467846870422,
60,0.8157652020454407,0.6790297031402588,0.27158698439598083,0.09419664740562439,0.11443831771612167,0.09419664740562439,
61,0.6682213544845581,0.4146794378757477,0.5048696994781494,0.110710009932518,0.11393976956605911,0.110710009932518,
62,0.6847426295280457,0.44941043853759766,0.46908479928970337,0.07898019254207611,0.11333741992712021,0.07898019254207611,
