layer,intervention,tta_baseline_dice_degradation,matched_baseline_dice_degradation,delta_degradation,tta_rank,matched_rank
decoder1,mean,0.8831681764067582,0.8887710221187625,0.005602845712004312,1.0,1.0
encoder1,mean,0.4928961593557215,0.49849900506772593,0.005602845712004423,2.0,2.0
decoder2,mean,0.3929610505562552,0.39856389626825967,0.005602845712004478,3.0,3.0
encoder2,mean,0.2673051669676967,0.27290801267970105,0.005602845712004367,4.0,4.0
decoder3,mean,0.0497443414929107,0.05534718720491515,0.005602845712004451,5.0,5.0
encoder3,mean,0.0217518883247072,0.027354734036711667,0.005602845712004468,6.0,6.0
encoder4,mean,-0.0050588503559657,0.0005439953560386296,0.005602845712004329,7.0,7.0
bottleneck,mean,-0.0056489156586877,-4.6069946683319134e-05,0.00560284571200438,8.0,8.0
decoder4,mean,-0.0078626602496655,-0.002259814537661142,0.005602845712004359,9.0,9.0
