layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder1,zero,necrosis_fraction,Necrosis fraction,8,0.13563365453719345,-0.13563365453719345,0.13563365453719345,0.0
decoder1,zero,false_positive_voxels,False-positive voxels,9,-1036.744,-1036.744,1036.744,0.0
decoder2,mean,tumor_volume,Tumor volume (pred WT voxels),1,21042.210666666666,21042.210666666666,11640.925333333333,32683.136
decoder2,mean,false_positive_voxels,False-positive voxels,2,20503.301333333333,20503.301333333333,1036.744,21540.04533333333
decoder2,mean,boundary_complexity,Boundary complexity,3,9.033052236669407,9.033052236669407,6.174654469857373,15.207706706526778
decoder2,mean,dice,Dice,4,0.39856389626825967,-0.39856389626825967,0.8887710221203972,0.4902071258521375
decoder2,mean,edema_fraction,Edema fraction,5,0.15737603747613177,-0.06050649464397729,0.6179801798768801,0.5574736852329029
decoder2,mean,necrosis_fraction,Necrosis fraction,6,0.12153202274239071,0.07740798420312611,0.13563365453719345,0.2130416387403196
decoder2,mean,enhancing_fraction,Enhancing fraction,7,0.09766792017152985,-0.016901489558079286,0.2463861655845238,0.2294846760264445
decoder2,mean,centroid_z,Centroid Z (normalized),8,0.09355400818809198,-0.008162406161132478,0.5049611454662892,0.49679873930515667
decoder2,mean,false_negative_voxels,False-negative voxels,9,-538.9093333333333,-538.9093333333333,998.28,459.3706666666667
decoder2,noise,tumor_volume,Tumor volume (pred WT voxels),1,14092.645333333334,14092.645333333334,11640.925333333333,25733.570666666667
decoder2,noise,false_positive_voxels,False-positive voxels,2,13736.776,13736.776,1036.744,14773.52
decoder2,noise,boundary_complexity,Boundary complexity,3,7.291346223163917,7.291346223163917,6.174654469857373,13.46600069302129
decoder2,noise,dice,Dice,4,0.33103391958002304,-0.33103391958002304,0.8887710221203972,0.557737102540374
decoder2,noise,edema_fraction,Edema fraction,5,0.1389350249937013,-0.017421136575267983,0.6179801798768801,0.6005590433016121
decoder2,noise,necrosis_fraction,Necrosis fraction,6,0.0905275239856861,0.02071946261268544,0.13563365453719345,0.1563531171498789
decoder2,noise,enhancing_fraction,Enhancing fraction,7,0.08961981631642853,-0.003298326036436833,0.2463861655845238,0.24308783954808696
decoder2,noise,centroid_z,Centroid Z (normalized),8,0.08016387090233094,-0.0070164666261611705,0.5049611454662892,0.497944678840128
decoder2,noise,false_negative_voxels,False-negative voxels,9,-355.8693333333333,-355.8693333333333,998.28,642.4106666666667
decoder2,zero,tumor_volume,Tumor volume (pred WT voxels),1,22542.338666666667,22542.338666666667,11640.925333333333,34183.264
