failure_def,calibration,auroc,auprc,brier,sensitivity,specificity,ppv,npv,calibration_slope,calibration_intercept,model_seed
lowest20_mean_fg,uncalibrated,0.9655713414102676,0.893144546791888,0.06438149687142035,0.8441558441558441,0.912751677852349,0.7142857142857143,0.9577464788732394,0.891630280473052,-0.02975986282172427,42
lowest20_mean_fg,platt,0.9695371742351608,0.8968277553507945,0.0627851314429782,0.6103896103896104,0.9798657718120806,0.8867924528301887,0.906832298136646,1.175804352393782,-0.025212454665565903,42
mean_fg_lt_0.70,uncalibrated,0.9727388188333486,0.8887028814898454,0.06382824656978099,0.863013698630137,0.9139072847682119,0.7078651685393258,0.965034965034965,0.8970104865019711,-0.05147723858907402,42
