outer_fold,model_seed,feature,coefficient
2,42,standardized_gap_gt_enhancing_frac,-0.48427137118939423
2,42,standardized_gap_gt_necrosis_frac,-0.29389190796355735
2,42,standardized_gap_log_wt_volume,-1.1569798405866667
3,42,conf_mean_maxprob_all,-0.0794820095181217
3,42,conf_mean_maxprob_fg,-1.3119240370161003
3,42,conf_mean_entropy_fg,1.0489936972321596
3,42,conf_mean_entropy_boundary,0.5283635855201106
3,42,conf_entropy_p95_boundary,-0.014659964300813337
3,42,conf_mean_margin_all,0.07161740696581331
3,42,conf_mean_margin_fg,-1.301416822813881
3,42,conf_frac_maxprob_lt_0.60,0.047763473492628696
3,42,conf_frac_maxprob_lt_0.70,-0.019443935763704533
3,42,conf_frac_maxprob_lt_0.80,0.12549793776995427
3,42,conf_frac_maxprob_lt_0.90,0.3931302705771741
3,42,conf_frac_margin_lt_0.10,-0.9027405528625126
3,42,conf_frac_margin_lt_0.20,-0.6092017618255319
3,42,absolute_gap_gt_compactness,-0.09018593275734828
3,42,absolute_gap_gt_edema_frac,0.0675159986858435
3,42,absolute_gap_gt_enhancing_frac,-0.5794304281940355
3,42,absolute_gap_gt_necrosis_frac,-0.21510461567311237
3,42,absolute_gap_log_wt_volume,0.27479947777294966
3,42,relative_gap_gt_compactness,0.022001463828456868
3,42,relative_gap_gt_edema_frac,-0.27102983864777735
3,42,relative_gap_gt_enhancing_frac,3.0206714448268763
3,42,relative_gap_gt_necrosis_frac,-0.44685040143549104
3,42,relative_gap_log_wt_volume,-0.26827530505583447
3,42,signed_gap_gt_compactness,0.7702959097466754
3,42,signed_gap_gt_edema_frac,-0.12503793373860383
3,42,signed_gap_gt_enhancing_frac,-0.900795784544645
3,42,signed_gap_gt_necrosis_frac,0.003595720582912555
3,42,signed_gap_log_wt_volume,-0.25084320986390596
3,42,standardized_gap_gt_compactness,-0.09018593275734824
3,42,standardized_gap_gt_edema_frac,0.06751599868584347
3,42,standardized_gap_gt_enhancing_frac,-0.5794304281940357
3,42,standardized_gap_gt_necrosis_frac,-0.2151046156731124
3,42,standardized_gap_log_wt_volume,0.27479947777295016
4,42,conf_mean_maxprob_all,0.029906727128245894
4,42,conf_mean_maxprob_fg,-0.7725534920276615
4,42,conf_mean_entropy_fg,0.6193272783803768
4,42,conf_mean_entropy_boundary,0.2742258287119612
4,42,conf_entropy_p95_boundary,0.17967658698947567
4,42,conf_mean_margin_all,0.018405266850009892
4,42,conf_mean_margin_fg,-0.7944342768592202
4,42,conf_frac_maxprob_lt_0.60,-0.12407930396227396
4,42,conf_frac_maxprob_lt_0.70,-0.08127510211436231
4,42,conf_frac_maxprob_lt_0.80,0.012747690703772992
4,42,conf_frac_maxprob_lt_0.90,0.08262711133206549
4,42,conf_frac_margin_lt_0.10,-0.1511527625403893
