failure_def,model_seed,method_a,method_b,metric,diff_mean,ci_low,ci_high,frac_a_better
mean_fg_lt_0.70,42,conf_consistency,confidence,capture20_diff,0.09937453737919837,0.02468383017163505,0.180327868852459,0.9902
mean_fg_lt_0.70,42,conf_consistency,confidence,aurc_diff,-0.0012576156490976167,-0.007278064664669694,0.005049059928240374,0.3412
mean_fg_lt_0.70,42,conf_consistency,confidence,dice80_diff,0.0033993770125526155,-0.0008537138642558838,0.007706945694866353,0.9454
mean_fg_lt_0.70,42,conf_consistency,conf_morph,auprc_diff,0.04235750173700419,-0.008159309979910899,0.09416383807685487,0.9526
mean_fg_lt_0.70,42,conf_consistency,conf_morph,capture20_diff,0.03887738286934226,-0.03389830508474578,0.10526315789473684,0.825
mean_fg_lt_0.70,42,conf_consistency,conf_morph,aurc_diff,-0.005608070447570823,-0.0099063860544517,-0.0020988086391600896,0.0002
mean_fg_lt_0.70,42,conf_consistency,conf_morph,dice80_diff,0.0015142513518669096,-0.002689868396030268,0.005552592056377198,0.7756
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,auprc_diff,0.05728168611857581,-0.01644050311540435,0.14124467892371337,0.931
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,capture20_diff,0.033519434042240503,-0.04999999999999993,0.11940298507462688,0.7336
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,aurc_diff,-0.0034927909944512683,-0.008479495702549581,0.0011347513907690985,0.0706
mean_fg_lt_0.70,42,conf_consistency,conf_pooled,dice80_diff,0.0011900755161728693,-0.003571366143836832,0.005769420688858633,0.7042
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,auprc_diff,-0.023336879271471114,-0.05970915173924314,0.01002419875674766,0.086
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,capture20_diff,-0.003997268181246098,-0.07018161601186063,0.06411290322580629,0.3588
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,aurc_diff,-6.996361690635028e-05,-0.0028179485383175292,0.00255744851814467,0.484
mean_fg_lt_0.70,42,conf_morph_consistency,conf_consistency,dice80_diff,-0.0001846188496960161,-0.0038801237963520443,0.003622087395583862,0.4616
mean_fg_lt_0.70,42,consistency,morphology,auprc_diff,-0.009080651016433247,-0.10021129413673091,0.08077903793297059,0.4168
mean_fg_lt_0.70,42,consistency,morphology,capture20_diff,-0.034794678970503014,-0.13559322033898302,0.06452660242982813,0.2008
mean_fg_lt_0.70,42,consistency,morphology,aurc_diff,-0.007512935155338508,-0.018830785929244382,0.0038801618789985064,0.0946
mean_fg_lt_0.70,42,consistency,morphology,dice80_diff,-0.008262868880964403,-0.016163329214701875,-0.0007448250708911413,0.0152
edema_lt_0.70,42,conf_consistency,confidence,auprc_diff,0.00590168955904124,-0.02626474228203578,0.0388744552033281,0.6414
edema_lt_0.70,42,conf_consistency,confidence,capture20_diff,0.02034514206703876,-0.03260869565217395,0.07692307692307687,0.6992
edema_lt_0.70,42,conf_consistency,confidence,aurc_diff,-0.004307548449129737,-0.006607295836915558,-0.002311231584544312,0.0
edema_lt_0.70,42,conf_consistency,confidence,dice80_diff,-0.004133951232778323,-0.008569348118339998,0.00033854051922922165,0.0328
edema_lt_0.70,42,conf_consistency,conf_morph,auprc_diff,-0.04097878513734737,-0.07112584687090188,-0.015511713311287095,0.0008
edema_lt_0.70,42,conf_consistency,conf_morph,capture20_diff,-0.028332911084150123,-0.08511286974571874,0.023255813953488413,0.1022
edema_lt_0.70,42,conf_consistency,conf_morph,aurc_diff,-0.00030463287029762226,-0.0037841233786829126,0.003032005159607266,0.4258
edema_lt_0.70,42,conf_consistency,conf_morph,dice80_diff,-0.0005647184975158796,-0.0052308858495994145,0.0042303338390849215,0.4012
edema_lt_0.70,42,conf_consistency,conf_pooled,auprc_diff,0.09111880499019596,0.013668122859537826,0.1793398328808771,0.9896
