outer_fold,model_seed,method,failure_def,auprc,auroc,capture_at_20,n_test,n_pos
0,42,confidence,lowest20_mean_fg,0.6527032229896006,0.9323076923076924,0.7,75,10
0,42,confidence,mean_fg_lt_0.80,0.7400932309784978,0.8768796992481203,0.5789473684210527,75,19
0,42,confidence,mean_fg_lt_0.70,0.6217394645258422,0.9276923076923077,0.7,75,10
0,42,confidence,edema_lt_0.70,0.8535971792182971,0.9437939110070257,0.7857142857142857,75,14
0,42,confidence,lowest20_edema,0.6575227345799446,0.8948863636363636,0.7272727272727273,75,11
0,42,morphology,lowest20_mean_fg,0.5835064312343414,0.8692307692307693,0.8,75,10
0,42,morphology,mean_fg_lt_0.80,0.6201244645791146,0.7800751879699248,0.47368421052631576,75,19
0,42,morphology,mean_fg_lt_0.70,0.5850436037392559,0.8661538461538462,0.8,75,10
0,42,morphology,edema_lt_0.70,0.6483015933646186,0.8384074941451991,0.6428571428571429,75,14
0,42,morphology,lowest20_edema,0.4540937680336703,0.7244318181818181,0.5454545454545454,75,11
0,42,consistency,lowest20_mean_fg,0.3449893044110961,0.7353846153846153,0.4,75,10
0,42,consistency,mean_fg_lt_0.80,0.4104729662673914,0.6456766917293233,0.2631578947368421,75,19
0,42,consistency,mean_fg_lt_0.70,0.3468882537976466,0.736923076923077,0.4,75,10
0,42,consistency,edema_lt_0.70,0.5638730895293734,0.7950819672131147,0.5714285714285714,75,14
0,42,consistency,lowest20_edema,0.5988990237230722,0.7485795454545454,0.45454545454545453,75,11
0,42,conf_morph,lowest20_mean_fg,0.7197970983265101,0.9507692307692308,0.8,75,10
0,42,conf_morph,mean_fg_lt_0.80,0.7876324583388294,0.9031954887218046,0.5789473684210527,75,19
0,42,conf_morph,mean_fg_lt_0.70,0.7308836996336996,0.9507692307692308,0.8,75,10
0,42,conf_morph,edema_lt_0.70,0.9069140241909119,0.9672131147540984,0.7857142857142857,75,14
0,42,conf_morph,lowest20_edema,0.6177255221721626,0.9147727272727273,0.7272727272727273,75,11
0,42,conf_pooled,lowest20_mean_fg,0.7377605779153766,0.9369230769230769,0.7,75,10
0,42,conf_pooled,mean_fg_lt_0.80,0.8019818164117529,0.8853383458646616,0.631578947368421,75,19
0,42,conf_pooled,mean_fg_lt_0.70,0.7500125313283207,0.9507692307692308,0.8,75,10
0,42,conf_pooled,edema_lt_0.70,0.6577330254595062,0.8899297423887587,0.6428571428571429,75,14
0,42,conf_pooled,lowest20_edema,0.6415343349904479,0.9147727272727273,0.7272727272727273,75,11
0,42,conf_consistency,lowest20_mean_fg,0.7246031746031746,0.9584615384615385,0.9,75,10
0,42,conf_consistency,mean_fg_lt_0.80,0.7073238495241252,0.868421052631579,0.5263157894736842,75,19
0,42,conf_consistency,mean_fg_lt_0.70,0.6942091190543203,0.9461538461538462,0.8,75,10
0,42,conf_consistency,edema_lt_0.70,0.8910161597661597,0.955503512880562,0.8571428571428571,75,14
0,42,conf_consistency,lowest20_edema,0.6956008147931924,0.9076704545454546,0.8181818181818182,75,11
0,42,conf_morph_consistency,lowest20_mean_fg,0.7838235294117646,0.9646153846153845,0.9,75,10
0,42,conf_morph_consistency,mean_fg_lt_0.80,0.7857218287861711,0.9097744360902256,0.5789473684210527,75,19
0,42,conf_morph_consistency,mean_fg_lt_0.70,0.7811363636363635,0.9646153846153847,0.9,75,10
0,42,conf_morph_consistency,edema_lt_0.70,0.9082286760858189,0.9695550351288056,0.7857142857142857,75,14
