case_id,label_wt_dice,label_mean_fg_dice,label_edema_dice,label_boundary_error,pred_tumor_volume,pred_edema_volume,pred_enhancing_volume,pred_necrosis_volume,out_log_wt_volume,out_gt_edema_frac,out_gt_enhancing_frac,out_gt_necrosis_frac,out_gt_compactness,n_components,surface_to_volume,rep_log_wt_volume,rep_gt_edema_frac,rep_gt_enhancing_frac,rep_gt_necrosis_frac,rep_gt_compactness,rep_dice,rep_boundary_error_fraction,signed_gap_log_wt_volume,absolute_gap_log_wt_volume,standardized_gap_log_wt_volume,relative_gap_log_wt_volume,signed_gap_gt_edema_frac,absolute_gap_gt_edema_frac,standardized_gap_gt_edema_frac,relative_gap_gt_edema_frac,signed_gap_gt_enhancing_frac,absolute_gap_gt_enhancing_frac,standardized_gap_gt_enhancing_frac,relative_gap_gt_enhancing_frac,signed_gap_gt_necrosis_frac,absolute_gap_gt_necrosis_frac,standardized_gap_gt_necrosis_frac,relative_gap_gt_necrosis_frac,signed_gap_gt_compactness,absolute_gap_gt_compactness,standardized_gap_gt_compactness,relative_gap_gt_compactness
BraTS2021_00261,0.9622624461645148,0.94804954715138,0.9355031948882111,0.9968076616121307,16685.0,10041.0,4379.0,2265.0,9.72232532346202,0.6017980221752461,0.26245130356592,0.13575067425823448,6.888668888879089,1.0,0.26958345819169416,9.476855278015137,0.6430982351303101,0.2532559335231781,0.09249837696552277,5.482599258422852,0.9194996356964111,0.9644356966018677,-0.24547004544688278,0.24547004544688278,1.007612335254966,0.025248077186476647,0.04130021295506392,0.04130021295506392,0.6325746171866583,0.06862791635284037,-0.009195370042741902,0.009195370042741902,0.186715744005909,0.03503634724407098,-0.04325229729271171,0.04325229729271171,1.1050076835654024,0.3186133617065728,-1.406069630456237,1.406069630456237,1.9436250928744998,0.20411337067060853
BraTS2021_00262,0.7161722488043709,0.7261702685791921,0.6610244988871692,0.3762643290627107,3332.0,2891.0,431.0,10.0,8.11162807830774,0.8676470588209254,0.1293517406958903,0.00300120048018307,6.221849058321725,10.0,0.41656662663073707,8.066471099853516,0.6710748672485352,0.2217516303062439,0.1124195083975792,5.555511951446533,0.7489064931869507,0.6096054911613464,-0.04515697845422473,0.04515697845422473,0.20010301581631598,0.00556694321427792,-0.19657219157239025,0.19657219157239025,3.1880754916192457,0.22655751900087054,0.09239988961035359,0.09239988961035359,2.0609109759744517,0.7143249467561474,0.10941830791739612,0.10941830791739612,2.9856075309511008,36.44603637886433,-0.6663371068751918,0.6663371068751918,0.9062045739391394,0.10709629782607277
BraTS2021_00263,0.973411276635879,0.9392028582581394,0.9446226213385043,0.9893617021276596,10676.0,7058.0,2844.0,774.0,9.275847174178303,0.6611090295984815,0.2663919070810543,0.07249906331952743,5.3295040826750055,1.0,0.24203821655529079,9.40347957611084,0.6368090510368347,0.23704370856285095,0.1167650818824768,5.818182945251465,1.0203155279159546,0.9798381328582764,0.12763240193253722,0.12763240193253722,0.5655743456898963,0.013759647585418085,-0.024299978561646784,0.024299978561646784,0.39410541989470477,0.03675633022298139,-0.02934819851820336,0.02934819851820336,0.6545897912465156,0.11016884360691219,0.04426601856294937,0.04426601856294937,1.2078505042002294,0.6105652400309918,0.4886788625764593,0.4886788625764593,0.6645930654093233,0.09169310376774793
BraTS2021_00266,0.962834397852457,0.9198486681068271,0.9312276268688434,0.9987546699875468,21726.0,12111.0,5536.0,4079.0,9.98631100573524,0.5574426953877578,0.2548099051826131,0.18774739942916885,5.404504477818099,1.0,0.19368498572880502,10.26353931427002,0.5028963685035706,0.214979350566864,0.2664898633956909,6.332979679107666,0.9835915565490723,1.0343081951141357,0.2772283085347791,0.2772283085347791,1.2195844708943442,0.027760829861470788,-0.05454632688418726,0.05454632688418726,0.8892149146573786,0.0978508275104714,-0.03983055461574908,0.03983055461574908,0.8459223778099664,0.1563141679011111,0.07874246396652207,0.07874246396652207,1.5492784116332539,0.4194041824374058,0.928475201289567,0.928475201289567,1.3220189856404865,0.1717965140567144
BraTS2021_00280,0.8038593708699394,0.8138235262167127,0.6835496914243806,0.6442048517520216,3813.0,2423.0,1112.0,278.0,8.246433786160365,0.6354576448973631,0.29163388408001145,0.07290847102000286,6.604711225670656,2.0,0.42276422762384613,8.298194885253906,0.6616899967193604,0.2625008225440979,0.07845856994390488,6.353647232055664,0.8912423849105835,0.8034806847572327,0.05176109909354132,0.05176109909354132,0.22303507686065793,0.006276785112083799,0.026232351821997235,0.026232351821997235,0.4114598065681402,0.04128097403763259,-0.02913306153591355,0.02913306153591355,0.6476084380658224,0.09989566792675171,0.005550098923902014,0.005550098923902014,0.13928511495292953,0.076123154457935,-0.2510639936149923,0.2510639936149923,0.34628781347831883,0.03801285885540588
BraTS2021_00282,0.9374617737003536,0.9004605685213941,0.9135967849967337,0.8569682151589242,6700.0,5283.0,1205.0,212.0,8.81001204797317,0.7885074626853903,0.1798507462683883,0.0316417910447289,6.544751709897661,4.0,0.34716417909419117,8.803802490234375,0.8061641454696655,0.14920786023139954,0.04530252516269684,6.915640830993652,0.9460514783859253,0.9168354868888855,-0.0062095577387957235,0.0062095577387957235,0.02675656452039693,0.0007048295734617888,0.017656682784275235,0.017656682784275235,0.2769486827696781,0.022392508920123202,-0.030642886036988753,0.030642886036988753,0.6811708251046674,0.17037858498888933,0.013660734117967942,0.013660734117967942,0.3428293708006282,0.43171710417888587,0.37088912109599104,0.37088912109599104,0.5115603433926922,0.05666969212375184
BraTS2021_00283,0.9228157657419114,0.8823261914680028,0.8609222855044453,0.9711340206185568,9870.0,5674.0,2225.0,1971.0,9.197356444417888,0.5748733535961753,0.22543059777079488,0.1996960486320165,7.324058408356986,5.0,0.3414387031330643,9.094304084777832,0.5249731540679932,0.2647254467010498,0.2260589301586151,7.277122497558594,0.9254419803619385,0.8449090123176575,-0.10305235964005632,0.10305235964005632,0.4440456511840197,0.01120456177362134,-0.04990019952818214,0.04990019952818214,0.7826948412745938,0.08680192326554004,0.03929484893025492,0.03929484893025492,0.8734981631911366,0.17430941056545024,0.026362881526598603,0.026362881526598603,0.6616020784979393,0.13201437731399684,-0.046935910798392655,0.046935910798392655,0.06473781321631233,0.006408455773151877
BraTS2021_00289,0.8917381489842964,0.863543586736732,0.8052154555576321,0.6663886572143453,6049.0,3490.0,2510.0,49.0,8.707813551024888,0.5769548685723641,0.4149446189445942,0.008100512481388494,6.533368620988449,14.0,0.35857166472657975,8.456338882446289,0.44601115584373474,0.5911084413528442,-0.007255285978317261,5.827676296234131,0.8260036110877991,0.7892453074455261,-0.2514746685785987,0.2514746685785987,1.1143535574461871,0.028879194326548993,-0.13094371272862937,0.13094371272862937,2.123690222876921,0.22695620213143888,0.17616382240825001,0.17616382240825001,3.9292033432266695,0.4245467703848016,-0.015355798459705755,0.015355798459705755,0.41900106479142346,1.8954236625546705,-0.7056923247543185,0.7056923247543185,0.9597268497999014,0.10801353140763412
BraTS2021_00300,0.958556245095951,0.9322198498655294,0.9331714138515003,0.9994262765347104,21164.0,13513.0,4990.0,2661.0,9.960104152955024,0.6384898884895868,0.23577773577762437,0.12573237573231633,6.949200225415699,2.0,0.25122850122509904,10.205707550048828,0.6430503129959106,0.17816360294818878,0.15212920308113098,7.145450115203857,0.9788944125175476,0.9666644334793091,0.24560339709380408,0.24560339709380408,1.1467307767609747,0.024658715276809802,0.004560424506323879,0.004560424506323879,0.0770191720837793,0.00714250522370337,-0.05761413282943559,0.05761413282943559,1.229508658769555,0.244356780688546,0.026396827348814655,0.026396827348814655,0.6567696525209806,0.20994288266794758,0.1962498897881586,0.1962498897881586,0.28987405117918646,0.028240639955913638
BraTS2021_00305,0.9084910107064114,0.8941699939451495,0.8941404502759102,0.8844738778513613,7761.0,6997.0,549.0,215.0,8.956995311928852,0.9015590774373128,0.0707383069191203,0.027702615642278442,7.015429072814726,5.0,0.354335781461964,9.007844924926758,0.8715270161628723,0.08670490980148315,0.034487269818782806,7.081276893615723,0.916282594203949,0.9378378987312317,0.050849612997906135,0.050849612997906135,0.2087289192714089,0.005677083167957215,-0.03003206127444047,0.03003206127444047,0.45998599776411353,0.03331121466669941,0.01596660288236286,0.01596660288236286,0.32420839211146363,0.22571047947385542,0.006784654176504364,0.006784654176504364,0.17333402997381894,0.24490139713569786,0.06584782080099671,0.06584782080099671,0.09102214715952082,0.009386141707286279
