case_id,inference_mode,tta_augmentations,overlap,checkpoint_epoch,path_saved_prediction,mask_exact_match,mask_agree_fraction,mask_n_disagree_voxels,mask_usable_with_old_dice,conf_mean_maxprob_all,conf_mean_maxprob_fg,conf_mean_entropy_fg,conf_mean_entropy_boundary,conf_entropy_p95_boundary,conf_mean_margin_all,conf_mean_margin_fg,conf_frac_maxprob_lt_0.60,conf_frac_maxprob_lt_0.70,conf_frac_maxprob_lt_0.80,conf_frac_maxprob_lt_0.90,conf_frac_margin_lt_0.10,conf_frac_margin_lt_0.20,pred_tumor_voxels,pred_boundary_voxels
BraTS2021_00000,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00000_pred_tta.npy,True,1.0,0,True,0.997954974281245,0.928463480294035,0.1747463449994445,0.382121945038105,0.8648561115931902,0.9960914853005416,0.8644927006952486,0.0011147621441739,0.002148722736958,0.0033831908831908,0.0054825348942996,0.0004982762335703,0.000989070842012,7759.0,4558.0
BraTS2021_00002,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00002_pred_tta.npy,True,1.0,0,True,0.9969889146209653,0.9297462223473185,0.17762311197913197,0.4015313204671665,0.7934970959262102,0.9942385108857207,0.8663589090134782,0.002018529682583958,0.003822609332025638,0.005784152292515844,0.008598996433830917,0.0008997903488487183,0.0018100782517673382,15030.0,7374.0
BraTS2021_00003,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00003_pred_tta.npy,True,1.0,0,True,0.9985901898473846,0.9547973975857056,0.1227202182817779,0.2811502252482332,0.7212294544950569,0.9973362856126855,0.9146440016913041,0.0007924194651585673,0.0015167186605052577,0.002380038814651697,0.0036910064561333266,0.0003350405107073942,0.0006909341652347508,11861.0,5658.0
BraTS2021_00011,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00011_pred_tta.npy,True,1.0,0,True,0.9980817135643667,0.9427810455561085,0.14369356078013415,0.2981583428298422,0.6972816265999772,0.9963074807204227,0.8884978668700372,0.000811965811965812,0.0016445623342175066,0.002992926613616269,0.005592396109637489,0.0003698791629826113,0.0007707043913940466,8907.0,5078.0
BraTS2021_00016,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00016_pred_tta.npy,True,1.0,0,True,0.9975586844838159,0.9170060217098193,0.19362041071009253,0.3965449494937724,0.703194601453515,0.9952675209698568,0.8392861941952361,0.0014963250257367905,0.0029851684263448967,0.004611673729320788,0.00697885992003639,0.0007167396873279226,0.0014020565491153726,9078.0,5481.0
BraTS2021_00017,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00017_pred_tta.npy,True,1.0,0,True,0.9980537189054538,0.9499791362718458,0.12879739767322151,0.3403313487817354,0.6991832543561338,0.9962320520381529,0.9028029714360012,0.001064918540646696,0.002099410837274915,0.0034423146073631512,0.005249910104279036,0.0004978839930296241,0.0010165131524354826,12454.0,6382.0
BraTS2021_00018,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00018_pred_tta.npy,True,1.0,0,True,0.9966329209941877,0.9093888985989464,0.2475635752659502,0.3350409077810823,0.9483292142203857,0.9939073742737263,0.8384208523463728,0.002530670387813245,0.00431275074132217,0.006384092098377813,0.009435141577998721,0.0009230187801616373,0.00190854119425548,18586.0,8055.0
BraTS2021_00020,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00020_pred_tta.npy,True,1.0,0,True,0.9978897074607548,0.9323449234192713,0.1620279018786621,0.35669516831762293,0.7789108938487895,0.9959924090820376,0.8701368296188006,0.0010924571122482062,0.0020904695451149547,0.0035395610436841883,0.006000761195923373,0.0004750426410679297,0.0009810969679029053,7954.0,5012.0
BraTS2021_00028,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00028_pred_tta.npy,True,1.0,0,True,0.9971855247996556,0.8426101546239824,0.32949124463206003,0.4378869327431083,0.8028367028313816,0.9945246136889861,0.6981369344993738,0.0017440757732019867,0.003622995127849497,0.005543404815249476,0.00812025083869744,0.000736453406356319,0.001627013762936093,3298.0,3696.0
BraTS2021_00030,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00030_pred_tta.npy,True,1.0,0,True,0.9971481891191972,0.9225815501403588,0.2096532555740372,0.3733170982347984,0.8467623630034617,0.9946696259831084,0.856986432621805,0.001737736900780379,0.0033444816053511705,0.005406911928651059,0.008219063545150502,0.0006911928651059085,0.0014283723522853958,16469.0,7481.0
BraTS2021_00035,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00035_pred_tta.npy,True,1.0,0,True,0.9979461792569894,0.9160539063084657,0.17551060376943559,0.3852553542882942,0.7146010448939285,0.9960053844508497,0.8349358359601852,0.0011506739447915918,0.002349230290406761,0.003770739064856712,0.005811726399961694,0.0005760851349086644,0.001107280519045225,5422.0,4324.0
BraTS2021_00045,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00045_pred_tta.npy,True,1.0,0,True,0.9990098076953967,0.9420130178043349,0.12822355136282784,0.28050860416031953,0.6931126970802755,0.9980939558802386,0.8856542078753032,0.00045443852783302326,0.0008674429545989179,0.001327227818053506,0.002325655995380766,0.00023924851906503283,0.0004330531853467633,4383.0,2977.0
BraTS2021_00046,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00046_pred_tta.npy,True,1.0,0,True,0.9993237497072681,0.9601588810289778,0.09164609811983956,0.20594726599314003,0.6906217659238952,0.998725179516109,0.9221818247754623,0.0003225024883440725,0.0006564644559694065,0.0009904264235947404,0.0014799098957514799,0.0001456990937188957,0.0002963093928440463,4100.0,2788.0
BraTS2021_00053,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00053_pred_tta.npy,True,1.0,0,True,0.9980717064206697,0.9511848864796403,0.13794895035838503,0.29687137603265407,0.7535870058097323,0.9963527229543657,0.9085404867138952,0.0009849337877631424,0.0018640690612397068,0.003026593212269605,0.004844060546978319,0.00043452961224844515,0.0008489071265375421,15074.0,7098.0
BraTS2021_00054,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00054_pred_tta.npy,True,1.0,0,True,0.9967212934704346,0.8812003730041361,0.3052718248319465,0.4331953971329647,0.922679502569404,0.993952357720445,0.7850949626663567,0.0023430178069353325,0.004184389493667845,0.006293105519909643,0.009349542210366952,0.0009642419436233869,0.0018849277869896427,11488.0,5692.0
BraTS2021_00058,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00058_pred_tta.npy,True,1.0,0,True,0.9974036631251209,0.8810366435533137,0.2560729252878962,0.43324283436704264,0.6957681972858696,0.9949053290806624,0.7653227583564276,0.0016211985688729875,0.0031958109719737626,0.00505615185847744,0.0074832910952097,0.0007873062015503876,0.0015823767640628106,5899.0,5105.0
BraTS2021_00063,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00063_pred_tta.npy,True,1.0,0,True,0.9948993112795841,0.8037110264168557,0.3810366576665068,0.5529124641689549,0.957716623358107,0.9901911486639899,0.6175913459367773,0.0035708716257113328,0.006618403072376889,0.009758444146651548,0.014841187400717347,0.001592487160985254,0.0032061193797097314,5047.0,6716.0
BraTS2021_00066,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00066_pred_tta.npy,True,1.0,0,True,0.9992062068007213,0.9570835372307469,0.09726237515059076,0.2315952497190061,0.6870953131975132,0.9984778060158839,0.9149857805566822,0.00038474255312753616,0.0007875199134329255,0.0012504132976644924,0.0019372388710210706,0.00018335387297484145,0.0003757251495386095,4894.0,3316.0
BraTS2021_00070,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00070_pred_tta.npy,True,1.0,0,True,0.9980278257873647,0.9488291219510966,0.1518062726397344,0.30348224399990154,0.7051898872508663,0.9962437488168912,0.9028247144911009,0.001046409457624411,0.0019982959235295686,0.0031831615943765474,0.005044332614426072,0.0004712836488537423,0.0009545490853902069,18094.0,6945.0
BraTS2021_00077,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00077_pred_tta.npy,True,1.0,0,True,0.9960760058788254,0.9344884776251055,0.19342377337908548,0.3599420903908028,0.7373301248022498,0.9925315743190742,0.8770641291893999,0.0022754417321887597,0.004492144341604361,0.007041701980067858,0.010894708723878573,0.001020941895819173,0.002044680892722782,24788.0,12734.0
BraTS2021_00085,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00085_pred_tta.npy,True,1.0,0,True,0.997087476613841,0.908208649035674,0.23425960663197207,0.4323848405327697,0.8602400862182488,0.9944377345431985,0.8250170083795717,0.001581634771057329,0.0032075497806744436,0.005308093597354256,0.008384186419804337,0.0006600523060317987,0.0013934437571782418,10911.0,5844.0
BraTS2021_00094,tta,8,0.25,5,outputs_10hour/predictions/epoch_005/BraTS2021_00094_pred_tta.npy,True,1.0,0,True,0.9967032680275137,0.9207923585830478,0.2392771269734222,0.35519227557924854,0.8444647764376961,0.9939865561270992,0.8592813615910512,0.0019630626563901937,0.00352626797964768,0.005535307263192506,0.008908319818991412,0.0008164334397761914,0.0015938564080272405,20196.0,7610.0
