method,target,mae,rmse,r2,spearman,mae_ci_low,mae_ci_high,spearman_ci_low,spearman_ci_high
morphology,mean_fg_dice,0.08824452967450527,0.12321100390071314,0.40630465651926306,0.6302051460463118,0.08037225042482936,0.09700102379354006,0.5562872010089205,0.6928445874021334
dice_probe,mean_fg_dice,0.0949887236723613,0.13467808464586098,0.2906533646936089,0.5520901126408011,0.08536449688015607,0.10465787907072942,0.47243618932343034,0.6256958883407339
rep_anatomy,mean_fg_dice,0.09686729979463496,0.1336097595830531,0.3018624213208799,0.5898905334974048,0.0883532091941718,0.10643777146109214,0.5139555749470562,0.6566211127724025
inconsistency,mean_fg_dice,0.08920962246707194,0.1239990776278758,0.3986856617147717,0.4706621913755831,0.081089949861928,0.09791394820486948,0.38230459223712865,0.5500388895381022
combined,mean_fg_dice,0.07734153890222872,0.1124833569314548,0.5051869009062395,0.6754518147684607,0.0693410441241191,0.08569336379733648,0.6040938030782798,0.7356855813963362
pooled_repr,mean_fg_dice,0.0705714827955174,0.09817309110858109,0.623079653708783,0.7419951497323457,0.06375233767991809,0.07760993098009912,0.6838646235404694,0.7943262013390295
edema_ridge_combined,edema_dice,0.08261574664283068,0.1256790961405834,0.49681824901221905,0.7382505404482876,0.0735049771992832,0.09237592436256385,0.6805848059479447,0.787823961898429
boundary_ridge_combined,boundary_error,0.10432058722628254,0.14260188441900548,0.5717929790955817,0.6372775745185181,0.09434787236625336,0.114354738587944,0.5641519689776425,0.701901455312669
