outer_fold,failure_def,feature,coefficient
2,lowest_20pct,pred_tumor_volume,0.047342243665990734
2,lowest_20pct,pred_edema_volume,-0.3941966006994424
2,lowest_20pct,pred_enhancing_volume,-0.05761204061835145
2,lowest_20pct,pred_necrosis_volume,1.0478432617274216
2,lowest_20pct,out_log_wt_volume,-0.24497006812646127
2,lowest_20pct,out_gt_edema_frac,0.3493364864447831
2,lowest_20pct,out_gt_enhancing_frac,-0.5679561414085196
2,lowest_20pct,out_gt_necrosis_frac,0.11507470265427117
2,lowest_20pct,out_gt_compactness,0.041357745956690416
2,lowest_20pct,n_components,0.3489371148796365
2,lowest_20pct,surface_to_volume,0.836531834777348
3,lowest_20pct,absolute_gap_gt_compactness,0.11436477332672657
3,lowest_20pct,absolute_gap_gt_edema_frac,0.04637227950086348
3,lowest_20pct,absolute_gap_gt_enhancing_frac,-0.011086548783835347
3,lowest_20pct,absolute_gap_gt_necrosis_frac,0.03479593635814726
3,lowest_20pct,absolute_gap_log_wt_volume,0.13596849576139008
3,lowest_20pct,relative_gap_gt_compactness,0.0689985842737883
3,lowest_20pct,relative_gap_gt_edema_frac,-0.24872004199441175
3,lowest_20pct,relative_gap_gt_enhancing_frac,0.6906363616370076
3,lowest_20pct,relative_gap_gt_necrosis_frac,-0.09513045838067972
3,lowest_20pct,relative_gap_log_wt_volume,0.02819061168623128
3,lowest_20pct,signed_gap_gt_compactness,0.17273067165651307
3,lowest_20pct,signed_gap_gt_edema_frac,0.2434764646621782
3,lowest_20pct,signed_gap_gt_enhancing_frac,-0.4536735174235284
3,lowest_20pct,signed_gap_gt_necrosis_frac,0.002399240444434894
3,lowest_20pct,signed_gap_log_wt_volume,-0.16549584635509998
3,lowest_20pct,standardized_gap_gt_compactness,0.1143647733267267
3,lowest_20pct,standardized_gap_gt_edema_frac,0.046372279500863596
3,lowest_20pct,standardized_gap_gt_enhancing_frac,-0.011086548783835155
3,lowest_20pct,standardized_gap_gt_necrosis_frac,0.034795936358147275
3,lowest_20pct,standardized_gap_log_wt_volume,0.13596849576139036
3,lowest_20pct,pred_tumor_volume,-0.0035968781630758774
3,lowest_20pct,pred_edema_volume,-0.11477417964526451
3,lowest_20pct,pred_enhancing_volume,-0.3331540090435922
3,lowest_20pct,pred_necrosis_volume,0.5656694970093191
3,lowest_20pct,out_log_wt_volume,-0.2306523165548051
3,lowest_20pct,out_gt_edema_frac,0.2776258036375853
3,lowest_20pct,out_gt_enhancing_frac,-0.609962343660734
3,lowest_20pct,out_gt_necrosis_frac,0.26782776401315733
