loss,l_seg,l_fid,l_sparse,l_dir,l_off,scale,cos,step,dev_edema_dice
0.33680102229118347,0.33654725551605225,3.802060746238567e-05,0.0,0.0,0.0021572797559201717,0.6931471824645996,1.0,1,
0.18722504377365112,0.1861208975315094,2.1586658476735465e-05,0.02140604518353939,0.0,0.008685019798576832,0.6931471824645996,1.0,2,
0.33310186862945557,0.3307597041130066,5.815705662826076e-05,0.035219706594944,0.0017713839188218117,0.017546823248267174,0.6968745589256287,0.9993143677711487,3,
0.18393784761428833,0.18263652920722961,1.3419887181953527e-05,0.045319899916648865,0.0003550811088643968,0.00799183826893568,0.7009319067001343,0.999824047088623,4,
0.33656424283981323,0.3350505232810974,1.2853713997174054e-05,0.05405912548303604,0.0005822271341457963,0.009020620957016945,0.7034635543823242,0.9998785257339478,5,
0.17213718593120575,0.17096266150474548,2.4586923245806247e-05,0.053956590592861176,0.0005818965146318078,0.0055217440240085125,0.7069592475891113,0.9998368620872498,6,
0.3320918083190918,0.3302026093006134,4.590040407492779e-05,0.06621192395687103,0.00018413522047922015,0.011627789586782455,0.7106320858001709,0.9999300241470337,7,
0.1763893961906433,0.1752341091632843,1.6355668776668608e-05,0.060662321746349335,0.0002192022802773863,0.005103749688714743,0.7147358655929565,0.9999024868011475,8,
0.3363296091556549,0.335103839635849,1.3853720702172723e-05,0.07340265810489655,0.0005844993866048753,0.004194308537989855,0.7183384895324707,0.9997775554656982,9,
0.18453943729400635,0.18304641544818878,2.284169568156358e-05,0.06151716038584709,0.0007863331120461226,0.007763845846056938,0.7222750782966614,0.9997025728225708,10,0.7840561657797622
0.3316515386104584,0.3291880488395691,7.262051803991199e-05,0.07676365971565247,0.0005726421950384974,0.01565956138074398,0.7260022759437561,0.999761700630188,11,
0.15751658380031586,0.15536215901374817,9.345596481580287e-06,0.06479217112064362,0.0002377819619141519,0.014733821153640747,0.7300968766212463,0.9998876452445984,12,
0.3357935845851898,0.3343646824359894,1.0311554433428682e-05,0.0805932879447937,0.0001442343054804951,0.00598211819306016,0.7336034178733826,0.99993497133255,13,
0.1872648298740387,0.18574191629886627,2.814421350194607e-05,0.0639653205871582,0.00018257569172419608,0.008368630893528461,0.7372052073478699,0.9999380111694336,14,
0.33452555537223816,0.33281394839286804,1.282368612010032e-05,0.08312475681304932,0.00021084232139401138,0.008464736863970757,0.7411340475082397,0.9999282360076904,15,
0.18414513766765594,0.1827881634235382,2.4058686904027127e-05,0.06614623963832855,0.0001770128874341026,0.006537413224577904,0.7450729012489319,0.9999263286590576,16,
0.33807557821273804,0.33635014295578003,1.3024234249314759e-05,0.08683491498231888,0.00025049762916751206,0.00818993803113699,0.7490702867507935,0.9998762607574463,17,
0.1873222291469574,0.18583770096302032,2.3851667720009573e-05,0.06727395951747894,0.00042257714085280895,0.007456759922206402,0.7527071833610535,0.9997912049293518,18,
0.33483201265335083,0.33276522159576416,1.0832013686012942e-05,0.08794783055782318,0.0005951441125944257,0.011169829405844212,0.7560880184173584,0.9997099041938782,19,
0.1700245887041092,0.16881003975868225,2.56525327131385e-05,0.06904301792383194,0.0006466201157309115,0.004338005557656288,0.759071409702301,0.99968421459198,20,0.7800409649523327
