case_id,edema_dice,wt_dice,edema_voxels_gt
BraTS2021_01541,0.8166728832526032,0.9050877899235422,10997
BraTS2021_00304,0.9311589793517784,0.9532108153781281,12530
BraTS2021_01552,0.9315488129536007,0.9585933331786962,14050
BraTS2021_00730,0.9238142928679277,0.9478406008763051,6781
BraTS2021_01568,0.9485210466439282,0.9606315150288532,18041
BraTS2021_00409,0.9162600816489513,0.9469826700459117,10187
BraTS2021_00808,0.9404873967158455,0.9617719040626623,14039
BraTS2021_01280,0.9278870796041762,0.956800227741808,12570
BraTS2021_00800,0.7860900808420556,0.8735950480535318,3256
BraTS2021_01613,0.9337842916197416,0.9511975276848113,6565
BraTS2021_01181,0.8547368421060277,0.9600933488915285,923
BraTS2021_01119,0.6805404227504025,0.8099959693673439,3986
BraTS2021_01205,0.32448598131093653,0.6709171162339858,924
BraTS2021_01112,0.7929105510939946,0.973720404754894,9606
BraTS2021_00539,0.8698721363879396,0.9045631982770546,8229
BraTS2021_00840,0.9008982691886728,0.9395426473043099,13115
BraTS2021_00449,0.8828585461689947,0.9536987759446602,16826
BraTS2021_01657,0.9502677376171519,0.9630049525628133,15113
BraTS2021_01245,0.6960614907944372,0.7912905382815985,9178
BraTS2021_01335,0.9586377671119933,0.9657245277816171,16656
BraTS2021_00781,0.8563027497958855,0.9277238403452218,8617
BraTS2021_01626,0.8987527512840563,0.9372851435473963,4327
BraTS2021_01517,0.6273118824425187,0.8810716254103949,11309
BraTS2021_01641,0.9230769230769589,0.9507120143785598,11228
