case_id,layer,intervention,rho_mean,rho_std
BraTS2021_01227,encoder2,mean,0.8517477884888649,0.0009245345514086
BraTS2021_01227,encoder2,noise,1.3134079575538635,0.0005844868939799
BraTS2021_01227,encoder3,zero,1.0,0.0
BraTS2021_01227,encoder3,mean,0.9351460710167884,0.0020561876092661
BraTS2021_01227,encoder3,noise,1.3688728362321854,0.002450751141132
BraTS2021_01227,encoder4,zero,1.0,0.0
BraTS2021_01227,encoder4,mean,0.9296355992555618,0.004834220512659
BraTS2021_01227,encoder4,noise,1.3652978539466858,0.0044025303325958
BraTS2021_01227,bottleneck,zero,1.0,0.0
BraTS2021_01227,bottleneck,mean,0.8494544625282288,0.0092663303334591
BraTS2021_01227,bottleneck,noise,1.3197901993989944,0.0045673534632152
BraTS2021_01227,decoder4,zero,1.0,0.0
BraTS2021_01227,decoder4,mean,0.6883154585957527,0.0127082708635093
BraTS2021_01227,decoder4,noise,1.2141272872686386,0.0070543749000929
BraTS2021_01227,decoder3,zero,1.0,0.0
BraTS2021_01227,decoder3,mean,0.860174722969532,0.0040530855126899
BraTS2021_01227,decoder3,noise,1.3187659233808515,0.0032362415147045
BraTS2021_01227,decoder2,zero,1.0,0.0
BraTS2021_01227,decoder2,mean,0.8522974923253059,0.0010551783726621
BraTS2021_01227,decoder2,noise,1.3142659664154053,0.0009692488347135
BraTS2021_01227,decoder1,zero,1.0,0.0
BraTS2021_01227,decoder1,mean,0.8167029991745949,0.0007105071582002
BraTS2021_01227,decoder1,noise,1.2910201400518415,0.0005668200727134
BraTS2021_01220,encoder1,zero,1.0,0.0
BraTS2021_01220,encoder1,mean,0.8213173449039459,0.0020013270879366
BraTS2021_01220,encoder1,noise,1.2941037267446518,0.0011323938337255
BraTS2021_01220,encoder2,zero,1.0,0.0
BraTS2021_01220,encoder2,mean,0.850088432431221,0.0018138087862339
BraTS2021_01220,encoder2,noise,1.312511295080185,0.0011560675860546
BraTS2021_01220,encoder3,zero,1.0,0.0
BraTS2021_01220,encoder3,mean,0.936767801642418,0.0017293108690047
BraTS2021_01220,encoder3,noise,1.3703204542398453,0.0022232204540922
BraTS2021_01220,encoder4,zero,1.0,0.0
BraTS2021_01220,encoder4,mean,0.9328924342989922,0.0063648862202605
BraTS2021_01220,encoder4,noise,1.3690006136894226,0.0048768267796097
BraTS2021_01220,bottleneck,zero,1.0,0.0
BraTS2021_01220,bottleneck,mean,0.865391455590725,0.0168786696174325
BraTS2021_01220,bottleneck,noise,1.328515142202377,0.010218076777587
BraTS2021_01220,decoder4,zero,1.0,0.0
BraTS2021_01220,decoder4,mean,0.6862811595201492,0.0235608643941759
BraTS2021_01220,decoder4,noise,1.2132911086082458,0.0145304056283402
BraTS2021_01220,decoder3,zero,1.0,0.0
BraTS2021_01220,decoder3,mean,0.8691480830311775,0.0109255423097381
BraTS2021_01220,decoder3,noise,1.3247741609811785,0.0073570927011723
BraTS2021_01220,decoder2,zero,1.0,0.0
BraTS2021_01220,decoder2,mean,0.8509634360671043,0.0007035217482099
BraTS2021_01220,decoder2,noise,1.313441589474678,0.0004348481724572
BraTS2021_01220,decoder1,zero,1.0,0.0
BraTS2021_01220,decoder1,mean,0.8094848841428757,0.0009728084343955
BraTS2021_01220,decoder1,noise,1.2866561561822891,0.0006122529733786
BraTS2021_01218,encoder1,zero,1.0,0.0
BraTS2021_01218,encoder1,mean,0.798515260219574,0.0023333295118518
BraTS2021_01218,encoder1,noise,1.2796958237886429,0.0014506827938093
BraTS2021_01218,encoder2,zero,1.0,0.0
BraTS2021_01218,encoder2,mean,0.8234587237238884,0.0016175262399795
BraTS2021_01218,encoder2,noise,1.2953077852725985,0.0012065009810553
BraTS2021_01218,encoder3,zero,1.0,0.0
BraTS2021_01218,encoder3,mean,0.9100379124283792,0.0045909108632955
BraTS2021_01218,encoder3,noise,1.3529714792966845,0.0032027085835798
BraTS2021_01218,encoder4,zero,1.0,0.0
BraTS2021_01218,encoder4,mean,0.9222436398267746,0.0021445038986823
BraTS2021_01218,encoder4,noise,1.3617791384458542,0.003440331296045
BraTS2021_01218,bottleneck,zero,1.0,0.0
BraTS2021_01218,bottleneck,mean,0.8602336570620537,0.0174431225463278
BraTS2021_01218,bottleneck,noise,1.3221505731344223,0.012349540428098
BraTS2021_01218,decoder4,zero,1.0,0.0
BraTS2021_01218,decoder4,mean,0.6882383152842522,0.0205992020958817
BraTS2021_01218,decoder4,noise,1.2148705571889875,0.0115860526801588
BraTS2021_01218,decoder3,zero,1.0,0.0
BraTS2021_01218,decoder3,mean,0.8528055027127266,0.0040985632632342
BraTS2021_01218,decoder3,noise,1.3143884390592575,0.0034261445305914
BraTS2021_01218,decoder2,zero,1.0,0.0
BraTS2021_01218,decoder2,mean,0.8346065059304237,0.002379269998063
BraTS2021_01218,decoder2,noise,1.3027982413768768,0.0012831438973412
