layer,intervention,metric,metric_label,rank,mean_degradation,mean_delta,mean_baseline,mean_ablated
decoder4,zero,false_positive_voxels,False-positive voxels,9,-155.26133333333334,-155.26133333333334,1094.712,939.4506666666666
encoder1,mean,tumor_volume,Tumor volume (pred WT voxels),1,7939.493333333333,-7805.498666666666,11701.106666666667,3895.608
encoder1,mean,false_negative_voxels,False-negative voxels,2,7290.032,7290.032,996.0666666666667,8286.098666666667
encoder1,mean,boundary_complexity,Boundary complexity,3,1.9291591381293276,-1.0885656533476824,6.212924539013352,5.12435888566567
encoder1,mean,edema_fraction,Edema fraction,4,0.5239324371484487,-0.5239324371484487,0.6238905015218923,0.09995806437344357
encoder1,mean,necrosis_fraction,Necrosis fraction,5,0.5013905953176164,0.5013905953176164,0.13112282674917344,0.6325134220667898
encoder1,mean,dice,Dice,6,0.49289615935572156,-0.49289615935572156,0.8831681764083926,0.39027201705267117
encoder1,mean,enhancing_fraction,Enhancing fraction,7,0.14617201033802565,0.022541841815578206,0.24498667172757516,0.2675285135431534
encoder1,mean,centroid_z,Centroid Z (normalized),8,0.037772431498694935,0.010321085990804509,0.5043551347248298,0.5146762207156343
encoder1,mean,false_positive_voxels,False-positive voxels,9,-515.4666666666667,-515.4666666666667,1094.712,579.2453333333333
encoder1,noise,tumor_volume,Tumor volume (pred WT voxels),1,8225.568,-7976.282666666667,11701.106666666667,3724.824
encoder1,noise,false_negative_voxels,False-negative voxels,2,7532.176,7532.176,996.0666666666667,8528.242666666667
encoder1,noise,boundary_complexity,Boundary complexity,3,2.0680263489789974,-0.8402702709459194,6.212924539013352,5.372654268067433
encoder1,noise,edema_fraction,Edema fraction,4,0.560671437428773,-0.560565790269319,0.6238905015218923,0.0633247112525733
encoder1,noise,dice,Dice,5,0.5074365960663586,-0.5074365960663586,0.8831681764083926,0.3757315803420341
encoder1,noise,necrosis_fraction,Necrosis fraction,6,0.4450104870218375,0.4450104870218375,0.13112282674917344,0.576133313771011
encoder1,noise,enhancing_fraction,Enhancing fraction,7,0.17489806559522145,0.11555530323273806,0.24498667172757516,0.3605419749603132
encoder1,noise,centroid_z,Centroid Z (normalized),8,0.04035350347876725,0.011046921418534405,0.5043551347248298,0.5154020561433643
encoder1,noise,false_positive_voxels,False-positive voxels,9,-444.1066666666667,-444.1066666666667,1094.712,650.6053333333333
encoder1,zero,tumor_volume,Tumor volume (pred WT voxels),1,7924.608,-7836.352,11701.106666666667,3864.7546666666667
encoder1,zero,false_negative_voxels,False-negative voxels,2,7270.464,7270.464,996.0666666666667,8266.530666666667
encoder1,zero,boundary_complexity,Boundary complexity,3,1.8735178213470622,-1.16779657741242,6.212924539013352,5.045127961600932
encoder1,zero,edema_fraction,Edema fraction,4,0.5191909259152104,-0.5189104916251749,0.6238905015218923,0.10498000989671738
encoder1,zero,dice,Dice,5,0.4909302263214344,-0.4909302263214344,0.8831681764083926,0.39223795008695833
encoder1,zero,necrosis_fraction,Necrosis fraction,6,0.49052837753153694,0.49052837753153694,0.13112282674917344,0.6216512042807103
encoder1,zero,enhancing_fraction,Enhancing fraction,7,0.14883035944994644,0.02838211407875991,0.24498667172757516,0.27336878580633506
encoder1,zero,centroid_z,Centroid Z (normalized),8,0.030128749610693437,-0.0027324047731215125,0.5043551347248298,0.5016227299517084
encoder1,zero,false_positive_voxels,False-positive voxels,9,-565.888,-565.888,1094.712,528.824
encoder2,mean,tumor_volume,Tumor volume (pred WT voxels),1,9306.808,8733.784,11701.106666666667,20434.890666666666
encoder2,mean,false_positive_voxels,False-positive voxels,2,8654.589333333333,8654.589333333333,1094.712,9749.301333333333
encoder2,mean,boundary_complexity,Boundary complexity,3,5.470636714044864,5.470636714044864,6.212924539013352,11.683561253058217
encoder2,mean,dice,Dice,4,0.2673051669676967,-0.2673051669676967,0.8831681764083926,0.615863009440696
encoder2,mean,edema_fraction,Edema fraction,5,0.10519019093047187,-0.038522388420841235,0.6238905015218923,0.585368113101051
encoder2,mean,necrosis_fraction,Necrosis fraction,6,0.08196932870978729,0.03978207071402878,0.13112282674917344,0.1709048974632022
encoder2,mean,enhancing_fraction,Enhancing fraction,7,0.07401967610450114,-0.0012596822923928394,0.24498667172757516,0.2437269894351823
encoder2,mean,centroid_z,Centroid Z (normalized),8,0.059343851835062786,0.006990690950251737,0.5043551347248298,0.5113458256750817
encoder2,mean,false_negative_voxels,False-negative voxels,9,-79.19466666666666,-79.19466666666666,996.0666666666667,916.872
encoder2,noise,tumor_volume,Tumor volume (pred WT voxels),1,11499.384,10907.149333333333,11701.106666666667,22608.256
encoder2,noise,false_positive_voxels,False-positive voxels,2,10737.994666666667,10737.994666666667,1094.712,11832.706666666667
encoder2,noise,boundary_complexity,Boundary complexity,3,6.235527075317815,6.235527075317815,6.212924539013352,12.448451614331168
encoder2,noise,dice,Dice,4,0.2964644397866363,-0.2964644397866363,0.8831681764083926,0.5867037366217565
encoder2,noise,edema_fraction,Edema fraction,5,0.11750321188771018,-0.07074745505333561,0.6238905015218923,0.5531430464685566
encoder2,noise,necrosis_fraction,Necrosis fraction,6,0.10418496745317858,0.06979715744953804,0.13112282674917344,0.2009199841987115
encoder2,noise,enhancing_fraction,Enhancing fraction,7,0.0787178863248546,0.0009502976046364422,0.24498667172757516,0.2459369693322116
encoder2,noise,centroid_z,Centroid Z (normalized),8,0.06767282170912238,0.011166037311866845,0.5043551347248298,0.5155211720366967
encoder2,noise,false_negative_voxels,False-negative voxels,9,-169.15466666666666,-169.15466666666666,996.0666666666667,826.912
encoder2,zero,tumor_volume,Tumor volume (pred WT voxels),1,14042.96,13670.346666666666,11701.106666666667,25371.453333333335
encoder2,zero,false_positive_voxels,False-positive voxels,2,13493.0,13493.0,1094.712,14587.712
encoder2,zero,boundary_complexity,Boundary complexity,3,6.966541922487166,6.966541922487166,6.212924539013352,13.179466461500517
encoder2,zero,dice,Dice,4,0.3407530359072492,-0.3407530359072492,0.8831681764083926,0.5424151405011435
encoder2,zero,edema_fraction,Edema fraction,5,0.1402366706862471,-0.10484564101749877,0.6238905015218923,0.5190448605043935
encoder2,zero,necrosis_fraction,Necrosis fraction,6,0.13010030215775653,0.10985942585420416,0.13112282674917344,0.2409822526033776
encoder2,zero,enhancing_fraction,Enhancing fraction,7,0.0848804853826624,-0.005013784835783448,0.24498667172757516,0.23997288689179172
encoder2,zero,centroid_z,Centroid Z (normalized),8,0.07779265220050409,0.007768449894216548,0.5043551347248298,0.5121235846190464
encoder2,zero,false_negative_voxels,False-negative voxels,9,-177.34666666666666,-177.34666666666666,996.0666666666667,818.72
encoder3,mean,tumor_volume,Tumor volume (pred WT voxels),1,820.8186666666667,627.336,11701.106666666667,12328.442666666666
encoder3,mean,false_positive_voxels,False-positive voxels,2,525.144,525.144,1094.712,1619.856
encoder3,mean,boundary_complexity,Boundary complexity,3,0.33954480045653385,0.22403009822797904,6.212924539013352,6.43695463724133
encoder3,mean,edema_fraction,Edema fraction,4,0.033209462689347616,-0.008387279195990254,0.6238905015218923,0.615503222325902
encoder3,mean,necrosis_fraction,Necrosis fraction,5,0.02366420662950873,0.014484307544347848,0.13112282674917344,0.14560713429352126
encoder3,mean,dice,Dice,6,0.021751888324707286,-0.021751888324707286,0.8831681764083926,0.8614162880836854
