outer_fold,model_seed,feature,coefficient,failure_def
0,42,standardized_gap_log_wt_volume,0.06255479636780266,mean_fg_lt_0.70
1,42,__block_perm_drop__lowest20_mean_fg,0.3721787519243404,
1,42,conf_mean_maxprob_all,0.12547002032478674,lowest20_mean_fg
1,42,conf_mean_maxprob_fg,-2.089034092017863,lowest20_mean_fg
1,42,conf_mean_entropy_fg,1.58500851039943,lowest20_mean_fg
1,42,conf_mean_entropy_boundary,1.7025689434837499,lowest20_mean_fg
1,42,conf_entropy_p95_boundary,-0.8678096069520896,lowest20_mean_fg
1,42,conf_mean_margin_all,1.5015803342306138,lowest20_mean_fg
1,42,conf_mean_margin_fg,-2.325183748318423,lowest20_mean_fg
1,42,conf_frac_maxprob_lt_0.60,2.922459037296195,lowest20_mean_fg
1,42,conf_frac_maxprob_lt_0.70,1.2669000256107483,lowest20_mean_fg
1,42,conf_frac_maxprob_lt_0.80,1.7418855503258548,lowest20_mean_fg
1,42,conf_frac_maxprob_lt_0.90,2.310600321545193,lowest20_mean_fg
1,42,conf_frac_margin_lt_0.10,-6.369092954998018,lowest20_mean_fg
1,42,conf_frac_margin_lt_0.20,-2.2859423747208627,lowest20_mean_fg
1,42,absolute_gap_gt_compactness,-0.938543383595426,lowest20_mean_fg
1,42,absolute_gap_gt_edema_frac,0.6106848868099307,lowest20_mean_fg
1,42,absolute_gap_gt_enhancing_frac,-1.6455748058862365,lowest20_mean_fg
1,42,absolute_gap_gt_necrosis_frac,-0.8025238374003069,lowest20_mean_fg
1,42,absolute_gap_log_wt_volume,0.9892938100048684,lowest20_mean_fg
1,42,relative_gap_gt_compactness,1.6378547083547899,lowest20_mean_fg
1,42,relative_gap_gt_edema_frac,-0.04299658567961237,lowest20_mean_fg
1,42,relative_gap_gt_enhancing_frac,6.9791797576595505,lowest20_mean_fg
1,42,relative_gap_gt_necrosis_frac,-0.616972846195543,lowest20_mean_fg
1,42,relative_gap_log_wt_volume,-1.9426086423636408,lowest20_mean_fg
1,42,signed_gap_gt_compactness,-0.26726628508659467,lowest20_mean_fg
1,42,signed_gap_gt_edema_frac,-2.7468852125362617,lowest20_mean_fg
1,42,signed_gap_gt_enhancing_frac,-3.976600329594269,lowest20_mean_fg
1,42,signed_gap_gt_necrosis_frac,-1.9743257858108427,lowest20_mean_fg
1,42,signed_gap_log_wt_volume,0.05933180844045624,lowest20_mean_fg
1,42,standardized_gap_gt_compactness,-0.9385433835954248,lowest20_mean_fg
1,42,standardized_gap_gt_edema_frac,0.6106848868099126,lowest20_mean_fg
1,42,standardized_gap_gt_enhancing_frac,-1.6455748058862718,lowest20_mean_fg
1,42,standardized_gap_gt_necrosis_frac,-0.802523837400286,lowest20_mean_fg
1,42,standardized_gap_log_wt_volume,0.9892938100048135,lowest20_mean_fg
1,42,__block_perm_drop__mean_fg_lt_0.70,0.2507546544271921,
1,42,conf_mean_maxprob_all,-0.09465396753125191,mean_fg_lt_0.70
1,42,conf_mean_maxprob_fg,-1.1788054361701803,mean_fg_lt_0.70
1,42,conf_mean_entropy_fg,1.133871254058412,mean_fg_lt_0.70
1,42,conf_mean_entropy_boundary,0.6222258699388564,mean_fg_lt_0.70
1,42,conf_entropy_p95_boundary,0.036592797893685546,mean_fg_lt_0.70
1,42,conf_mean_margin_all,0.010104275580940382,mean_fg_lt_0.70
1,42,conf_mean_margin_fg,-1.2232927676639604,mean_fg_lt_0.70
1,42,conf_frac_maxprob_lt_0.60,-0.13139385829630673,mean_fg_lt_0.70
1,42,conf_frac_maxprob_lt_0.70,-0.019324562282411764,mean_fg_lt_0.70
1,42,conf_frac_maxprob_lt_0.80,0.1685169332930562,mean_fg_lt_0.70
1,42,conf_frac_maxprob_lt_0.90,0.42312908328158017,mean_fg_lt_0.70
1,42,conf_frac_margin_lt_0.10,-1.0114781943628228,mean_fg_lt_0.70
1,42,conf_frac_margin_lt_0.20,-0.6192685198183733,mean_fg_lt_0.70
1,42,absolute_gap_gt_compactness,-0.1003770282813165,mean_fg_lt_0.70
1,42,absolute_gap_gt_edema_frac,0.14162149981562872,mean_fg_lt_0.70
1,42,absolute_gap_gt_enhancing_frac,-0.46049644111256083,mean_fg_lt_0.70
1,42,absolute_gap_gt_necrosis_frac,-0.3401248999779926,mean_fg_lt_0.70
1,42,absolute_gap_log_wt_volume,0.23642836107139734,mean_fg_lt_0.70
1,42,relative_gap_gt_compactness,0.16546090988542594,mean_fg_lt_0.70
1,42,relative_gap_gt_edema_frac,-0.3107070848630027,mean_fg_lt_0.70
1,42,relative_gap_gt_enhancing_frac,2.7174217769571984,mean_fg_lt_0.70
1,42,relative_gap_gt_necrosis_frac,-0.09460376424753826,mean_fg_lt_0.70
1,42,relative_gap_log_wt_volume,-0.40444007604561616,mean_fg_lt_0.70
1,42,signed_gap_gt_compactness,0.3776722677177323,mean_fg_lt_0.70
1,42,signed_gap_gt_edema_frac,-0.4446117650897334,mean_fg_lt_0.70
1,42,signed_gap_gt_enhancing_frac,-1.0779522947292393,mean_fg_lt_0.70
1,42,signed_gap_gt_necrosis_frac,-0.18030468647450387,mean_fg_lt_0.70
1,42,signed_gap_log_wt_volume,-0.08059057872109897,mean_fg_lt_0.70
1,42,standardized_gap_gt_compactness,-0.10037702828131466,mean_fg_lt_0.70
1,42,standardized_gap_gt_edema_frac,0.14162149981562505,mean_fg_lt_0.70
1,42,standardized_gap_gt_enhancing_frac,-0.4604964411125639,mean_fg_lt_0.70
1,42,standardized_gap_gt_necrosis_frac,-0.340124899977993,mean_fg_lt_0.70
1,42,standardized_gap_log_wt_volume,0.23642836107139775,mean_fg_lt_0.70
2,42,__block_perm_drop__lowest20_mean_fg,0.2541767171731436,
2,42,conf_mean_maxprob_all,-0.34417929450068935,lowest20_mean_fg
2,42,conf_mean_maxprob_fg,-1.536177766525513,lowest20_mean_fg
2,42,conf_mean_entropy_fg,1.2903850728566746,lowest20_mean_fg
2,42,conf_mean_entropy_boundary,-0.2947418134040265,lowest20_mean_fg
2,42,conf_entropy_p95_boundary,-0.37195567843406374,lowest20_mean_fg
2,42,conf_mean_margin_all,0.7258638064827736,lowest20_mean_fg
2,42,conf_mean_margin_fg,-2.338425054025242,lowest20_mean_fg
2,42,conf_frac_maxprob_lt_0.60,3.262130472623372,lowest20_mean_fg
2,42,conf_frac_maxprob_lt_0.70,-1.9605149873512884,lowest20_mean_fg
2,42,conf_frac_maxprob_lt_0.80,-1.6588971747087056,lowest20_mean_fg
2,42,conf_frac_maxprob_lt_0.90,5.0886533974548085,lowest20_mean_fg
2,42,conf_frac_margin_lt_0.10,-3.853186890927238,lowest20_mean_fg
2,42,conf_frac_margin_lt_0.20,-0.653356350010619,lowest20_mean_fg
